 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
 2815.0071    3.0000    1.4997    1.4997    0.8806    0.5559    3.7055    0.1786  7.1748E-01     -1.4948  1.0394E+02
 2816.4944    3.0000    1.4997    1.4997    0.8859    0.5588    3.7053    0.1789  7.2559E-01     -1.4948  1.0237E+02
 2817.9668    3.0000    1.4997    1.4997    0.8911    0.5617    3.7052    0.1793  7.3374E-01     -1.4948  1.0083E+02
 2819.4243    3.0000    1.4997    1.4997    0.8963    0.5646    3.7050    0.1796  7.4192E-01     -1.4948  9.9308E+01
 2820.8674    3.0000    1.4997    1.4997    0.9016    0.5676    3.7049    0.1800  7.5013E-01     -1.4948  9.7814E+01
 2822.2961    3.0000    1.4997    1.4997    0.9068    0.5705    3.7047    0.1804  7.5838E-01     -1.4948  9.6345E+01
 2823.7104    3.0000    1.4997    1.4997    0.9121    0.5734    3.7046    0.1807  7.6667E-01     -1.4948  9.4900E+01
 2825.1106    3.0000    1.4997    1.4997    0.9173    0.5763    3.7044    0.1811  7.7498E-01     -1.4948  9.3478E+01
 2826.4968    3.0000    1.4997    1.4997    0.9225    0.5792    3.7043    0.1814  7.8333E-01     -1.4948  9.2080E+01
 2827.8691    3.0000    1.4997    1.4997    0.9278    0.5822    3.7041    0.1818  7.9170E-01     -1.4948  9.0704E+01
 2829.2278    3.0000    1.4997    1.4996    0.9330    0.5851    3.7040    0.1822  8.0011E-01     -1.4948  8.9350E+01
 2830.5728    3.0000    1.4997    1.4996    0.9383    0.5880    3.7038    0.1825  8.0854E-01     -1.4948  8.8018E+01
 2831.9043    3.0000    1.4997    1.4996    0.9435    0.5909    3.7037    0.1829  8.1699E-01     -1.4948  8.6708E+01
 2833.2227    3.0000    1.4997    1.4996    0.9487    0.5939    3.7035    0.1833  8.2547E-01     -1.4948  8.5418E+01
 2834.5276    3.0000    1.4997    1.4996    0.9540    0.5968    3.7034    0.1837  8.3397E-01     -1.4948  8.4149E+01
 2835.8196    3.0000    1.4997    1.4996    0.9592    0.5998    3.7032    0.1840  8.4249E-01     -1.4948  8.2901E+01
 2837.0986    3.0000    1.4997    1.4996    0.9644    0.6027    3.7030    0.1844  8.5103E-01     -1.4948  8.1672E+01
 2838.3650    3.0000    1.4997    1.4996    0.9697    0.6056    3.7029    0.1848  8.5959E-01     -1.4948  8.0463E+01
 2839.6187    3.0000    1.4997    1.4996    0.9749    0.6086    3.7027    0.1851  8.6817E-01     -1.4948  7.9273E+01
 2840.8599    3.0000    1.4997    1.4996    0.9802    0.6115    3.7025    0.1855  8.7675E-01     -1.4948  7.8103E+01
 2842.0884    3.0000    1.4997    1.4996    0.9854    0.6145    3.7024    0.1859  8.8535E-01     -1.4948  7.6950E+01
 2843.3049    3.0000    1.4997    1.4996    0.9906    0.6174    3.7022    0.1863  8.9396E-01     -1.4948  7.5816E+01
 2844.5090    3.0000    1.4997    1.4996    0.9959    0.6204    3.7021    0.1866  9.0257E-01     -1.4948  7.4700E+01
 2845.7014    3.0000    1.4997    1.4996    1.0011    0.6233    3.7019    0.1870  9.1119E-01     -1.4948  7.3601E+01
 2846.8816    3.0000    1.4997    1.4996    1.0063    0.6263    3.7017    0.1874  9.1982E-01     -1.4948  7.2520E+01
 2848.0500    3.0000    1.4997    1.4996    1.0116    0.6292    3.7015    0.1878  9.2844E-01     -1.4948  7.1456E+01
 2849.2068    3.0000    1.4997    1.4995    1.0168    0.6322    3.7014    0.1881  9.3707E-01     -1.4948  7.0408E+01
 2850.3521    3.0000    1.4997    1.4995    1.0221    0.6352    3.7012    0.1885  9.4568E-01     -1.4948  6.9377E+01
 2851.4858    3.0000    1.4997    1.4995    1.0273    0.6381    3.7010    0.1889  9.5430E-01     -1.4948  6.8362E+01
 2852.6084    3.0000    1.4997    1.4995    1.0325    0.6411    3.7009    0.1893  9.6290E-01     -1.4948  6.7363E+01
 2853.7195    3.0000    1.4997    1.4995    1.0378    0.6441    3.7007    0.1897  9.7149E-01     -1.4948  6.6379E+01
 2854.8196    3.0000    1.4997    1.4995    1.0430    0.6470    3.7005    0.1900  9.8006E-01     -1.4948  6.5411E+01
 2855.9087    3.0000    1.4997    1.4995    1.0482    0.6500    3.7003    0.1904  9.8862E-01     -1.4948  6.4458E+01
 2856.9868    3.0000    1.4997    1.4995    1.0535    0.6530    3.7002    0.1908  9.9715E-01     -1.4948  6.3519E+01
 2858.0544    3.0000    1.4997    1.4995    1.0587    0.6559    3.7000    0.1912  1.0057E+00     -1.4948  6.2595E+01
 2859.1111    3.0000    1.4997    1.4995    1.0640    0.6589    3.6998    0.1916  1.0141E+00     -1.4948  6.1685E+01
 2860.1572    3.0000    1.4997    1.4995    1.0692    0.6619    3.6996    0.1920  1.0226E+00     -1.4948  6.0790E+01
 2861.1931    3.0000    1.4997    1.4995    1.0744    0.6649    3.6994    0.1923  1.0310E+00     -1.4948  5.9908E+01
 2862.2183    3.0000    1.4997    1.4995    1.0797    0.6679    3.6993    0.1927  1.0394E+00     -1.4948  5.9039E+01
 2863.2334    3.0000    1.4997    1.4995    1.0849    0.6709    3.6991    0.1931  1.0477E+00     -1.4948  5.8184E+01
 2864.2385    3.0000    1.4997    1.4994    1.0901    0.6738    3.6989    0.1935  1.0560E+00     -1.4948  5.7343E+01
 2865.2334    3.0000    1.4997    1.4994    1.0954    0.6768    3.6987    0.1939  1.0643E+00     -1.4948  5.6514E+01
 2866.2183    3.0000    1.4997    1.4994    1.1006    0.6798    3.6985    0.1943  1.0725E+00     -1.4948  5.5697E+01
 2867.1934    3.0000    1.4997    1.4994    1.1059    0.6828    3.6983    0.1947  1.0806E+00     -1.4948  5.4893E+01
 2868.1587    3.0000    1.4997    1.4994    1.1111    0.6858    3.6981    0.1951  1.0886E+00     -1.4948  5.4102E+01
 2869.1145    3.0000    1.4997    1.4994    1.1163    0.6888    3.6980    0.1955  1.0966E+00     -1.4948  5.3322E+01
 2870.0605    3.0000    1.4997    1.4994    1.1216    0.6918    3.6978    0.1959  1.1046E+00     -1.4948  5.2555E+01
 2870.9973    3.0000    1.4997    1.4994    1.1268    0.6948    3.6976    0.1962  1.1124E+00     -1.4948  5.1798E+01
 2871.9246    3.0000    1.4997    1.4994    1.1320    0.6978    3.6974    0.1966  1.1202E+00     -1.4948  5.1054E+01
 2872.8428    3.0000    1.4997    1.4994    1.1373    0.7008    3.6972    0.1970  1.1279E+00     -1.4948  5.0320E+01
 2873.7515    3.0000    1.4997    1.4994    1.1425    0.7038    3.6970    0.1974  1.1355E+00     -1.4948  4.9598E+01
 2874.6514    3.0000    1.4997    1.4994    1.1478    0.7068    3.6968    0.1978  1.1430E+00     -1.4948  4.8887E+01
 2875.5420    3.0000    1.4997    1.4993    1.1530    0.7098    3.6966    0.1982  1.1503E+00     -1.4948  4.8186E+01
 2876.4241    3.0000    1.4997    1.4993    1.1582    0.7129    3.6964    0.1986  1.1576E+00     -1.4948  4.7496E+01
 2877.2971    3.0000    1.4997    1.4993    1.1635    0.7159    3.6962    0.1990  1.1648E+00     -1.4948  4.6816E+01
 2878.1614    3.0000    1.4997    1.4993    1.1687    0.7189    3.6960    0.1994  1.1718E+00     -1.4948  4.6147E+01
 2879.0171    3.0000    1.4997    1.4993    1.1740    0.7219    3.6958    0.1998  1.1787E+00     -1.4948  4.5487E+01
 2879.8643    3.0000    1.4997    1.4993    1.1792    0.7249    3.6956    0.2002  1.1855E+00     -1.4948  4.4837E+01
 2880.7029    3.0000    1.4997    1.4993    1.1844    0.7280    3.6954    0.2006  1.1922E+00     -1.4948  4.4197E+01
 2881.5330    3.0000    1.4997    1.4993    1.1897    0.7310    3.6952    0.2010  1.1987E+00     -1.4948  4.3567E+01
 2882.3550    3.0000    1.4997    1.4993    1.1949    0.7340    3.6950    0.2014  1.2050E+00     -1.4948  4.2946E+01
 2883.1687    3.0000    1.4997    1.4993    1.2001    0.7370    3.6948    0.2018  1.2112E+00     -1.4948  4.2334E+01
 2883.9744    3.0000    1.4997    1.4993    1.2054    0.7401    3.6946    0.2023  1.2172E+00     -1.4948  4.1732E+01
 2884.7720    3.0000    1.4997    1.4992    1.2106    0.7431    3.6944    0.2027  1.2230E+00     -1.4948  4.1138E+01
