           6
   377.536926    
   379.787720    
   382.211243    
   473.381073    
   476.414154    
   477.568634    
 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    0.0000    1.0000    3.0000    3.0000    1.9030    0.2965    4.0908    0.0000  1.0000E-10      0.0000  4.7897E+03
   18.8768    1.0000    3.0000    3.0000    1.9123    0.3072    4.0877    0.0000  1.0000E-10      0.0000  4.6531E+03
   37.7537    1.0000    3.0000    3.0000    1.9222    0.3181    4.0848    0.0000  1.0000E-10      0.0000  4.5175E+03
   56.6305    1.0000    3.0000    3.0000    1.9326    0.3292    4.0818    0.0000  1.0000E-10      0.0000  4.3815E+03
   75.5074    1.0000    3.0000    3.0000    1.9435    0.3407    4.0788    0.0000  1.0000E-10      0.0000  4.2438E+03
   94.3842    1.0000    3.0000    3.0000    1.9549    0.3527    4.0757    0.0000  1.0000E-10      0.0000  4.1033E+03
  113.2611    1.0000    3.0000    3.0000    1.9669    0.3653    4.0724    0.0000  1.0000E-10      0.0000  3.9589E+03
  132.1379    1.0000    3.0000    3.0000    1.9794    0.3786    4.0688    0.0000  1.0000E-10      0.0000  3.8097E+03
  151.0148    1.0000    3.0000    3.0000    1.9925    0.3929    4.0650    0.0000  1.0000E-10      0.0000  3.6551E+03
  169.8916    1.0000    3.0000    3.0000    2.0061    0.4081    4.0607    0.0000  1.0000E-10      0.0000  3.4946E+03
  188.7685    1.0000    3.0000    3.0000    2.0202    0.4245    4.0561    0.0000  1.0000E-10      0.0000  3.3275E+03
  207.6453    1.0000    3.0000    3.0000    2.0349    0.4422    4.0509    0.0000  1.0000E-10      0.0000  3.1536E+03
  226.5222    1.0000    3.0000    3.0000    2.0500    0.4614    4.0451    0.0000  1.0000E-10      0.0000  2.9723E+03
  245.3990    1.0000    3.0000    3.0000    2.0658    0.4825    4.0385    0.0000  1.0000E-10      0.0000  2.7830E+03
  264.2758    1.0000    3.0000    3.0000    2.0820    0.5057    4.0309    0.0000  1.0000E-10      0.0000  2.5846E+03
  283.1527    1.0000    3.0000    3.0000    2.0988    0.5318    4.0221    0.0000  1.0000E-10      0.0000  2.3754E+03
  302.0295    1.0000    3.0000    3.0000    2.1161    0.5615    4.0115    0.0000  1.0000E-10      0.0000  2.1528E+03
  320.9064    1.0000    3.0000    3.0000    2.1340    0.5963    3.9986    0.0000  1.0000E-10      0.0000  1.9137E+03
  339.3604    1.0000    3.0000    3.0000    2.1519    0.6372    3.9826    0.0000  1.0000E-10      0.0000  1.6610E+03
  354.4708    1.0000    3.0000    3.0000    2.1670    0.6777    3.9662    0.0000  1.0000E-10      0.0000  1.4390E+03
  367.0739    1.0000    3.0000    3.0000    2.1798    0.7179    3.9493    0.0000  1.0000E-10      0.0000  1.2440E+03
  375.0551    1.0000    3.0000    3.0000    2.2027    0.7434    3.9422    0.0000  1.0000E-10      0.0000  1.1327E+03
  376.3828    1.0000    3.0000    3.0000    2.2493    0.7210    3.9651    0.0000  1.0000E-10      0.0000  1.2300E+03
  377.2184    1.0000    3.0000    3.0000    2.2943    0.6838    3.9949    0.0000  1.0000E-10      0.0000  1.4078E+03
  377.5369    2.0000    3.0000    3.0000    2.3147    0.6634    4.0103    0.4165  1.0000E-10      0.0000  1.7582E+03
  377.6494    2.0000    3.0000    3.0000    2.3010    0.6885    3.9943    0.4170  1.0000E-10     -0.0024  1.6070E+03
  377.7620    2.0000    3.0000    3.0000    2.2872    0.7137    3.9782    0.4175  1.0000E-10     -0.0049  1.4671E+03
  377.8745    2.0000    3.0000    3.0000    2.2734    0.7388    3.9622    0.4179  1.0000E-10     -0.0074  1.3378E+03
  377.9870    2.0000    3.0000    3.0000    2.2597    0.7640    3.9462    0.4184  1.0000E-10     -0.0100  1.2186E+03
  378.0996    2.0000    3.0000    3.0000    2.2459    0.7891    3.9302    0.4189  1.0000E-10     -0.0126  1.1088E+03
  378.2121    2.0000    3.0000    3.0000    2.2321    0.8143    3.9142    0.4193  1.0000E-10     -0.0154  1.0079E+03
  378.3246    2.0000    2.9999    2.9999    2.2183    0.8394    3.8982    0.4198  1.0000E-10     -0.0182  9.1534E+02
  378.4372    2.0000    2.9999    2.9999    2.2046    0.8646    3.8821    0.4203  1.0000E-10     -0.0211  8.3053E+02
  378.5497    2.0000    2.9999    2.9999    2.1908    0.8897    3.8661    0.4207  1.0000E-10     -0.0240  7.5294E+02
  378.6622    2.0000    2.9999    2.9999    2.1770    0.9149    3.8501    0.4212  1.0000E-10     -0.0271  6.8205E+02
  378.7748    2.0000    2.9999    2.9999    2.1633    0.9400    3.8341    0.4217  1.0000E-10     -0.0302  6.1737E+02
  378.8873    2.0000    2.9999    2.9999    2.1495    0.9651    3.8181    0.4221  1.0000E-10     -0.0334  5.5843E+02
  378.9999    2.0000    2.9999    2.9999    2.1357    0.9903    3.8021    0.4226  1.0000E-10     -0.0367  5.0478E+02
  379.1124    2.0000    2.9999    2.9999    2.1220    1.0154    3.7860    0.4231  1.0000E-10     -0.0401  4.5599E+02
  379.2249    2.0000    2.9999    2.9999    2.1082    1.0406    3.7700    0.4235  2.4517E-05     -0.0436  4.0858E+02
  379.3375    2.0000    2.9999    2.9999    2.0944    1.0657    3.7540    0.4240  2.1446E-03     -0.0471  3.3380E+02
  379.4500    2.0000    2.9998    2.9998    2.0806    1.0909    3.7380    0.4245  2.3435E-02     -0.0508  2.2622E+02
  379.5626    2.0000    2.9998    2.9998    2.0669    1.1160    3.7220    0.4249  1.2353E-01     -0.0546  1.3003E+02
