           6
   104.171310    
   104.601578    
   104.849945    
   120.358749    
   121.142197    
   121.768318    
 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  104.6130    3.0000    4.9918    4.9917    2.9485    1.6815    3.6596    0.8586  2.1453E+00     -0.2520  6.6486E+00
  104.6168    3.0000    4.9918    4.9917    2.9539    1.6853    3.6591    0.8586  2.1717E+00     -0.2520  6.5204E+00
  104.6205    3.0000    4.9918    4.9917    2.9594    1.6890    3.6586    0.8587  2.1984E+00     -0.2520  6.3949E+00
  104.6241    3.0000    4.9918    4.9917    2.9648    1.6928    3.6581    0.8587  2.2252E+00     -0.2520  6.2719E+00
  104.6278    3.0000    4.9918    4.9917    2.9703    1.6965    3.6576    0.8588  2.2521E+00     -0.2520  6.1514E+00
  104.6314    3.0000    4.9918    4.9917    2.9758    1.7003    3.6571    0.8588  2.2792E+00     -0.2520  6.0334E+00
  104.6349    3.0000    4.9918    4.9917    2.9812    1.7041    3.6565    0.8589  2.3064E+00     -0.2520  5.9178E+00
  104.6384    3.0000    4.9918    4.9917    2.9867    1.7078    3.6560    0.8589  2.3338E+00     -0.2520  5.8045E+00
  104.6419    3.0000    4.9918    4.9917    2.9921    1.7116    3.6555    0.8590  2.3613E+00     -0.2520  5.6936E+00
  104.6454    3.0000    4.9918    4.9917    2.9976    1.7154    3.6550    0.8590  2.3889E+00     -0.2520  5.5848E+00
  104.6488    3.0000    4.9918    4.9917    3.0030    1.7191    3.6545    0.8590  2.4167E+00     -0.2520  5.4783E+00
  104.6522    3.0000    4.9918    4.9917    3.0085    1.7229    3.6539    0.8591  2.4446E+00     -0.2520  5.3740E+00
  104.6555    3.0000    4.9918    4.9917    3.0139    1.7267    3.6534    0.8591  2.4726E+00     -0.2520  5.2717E+00
  104.6588    3.0000    4.9918    4.9916    3.0194    1.7304    3.6529    0.8592  2.5007E+00     -0.2520  5.1715E+00
  104.6621    3.0000    4.9918    4.9916    3.0249    1.7342    3.6524    0.8592  2.5289E+00     -0.2520  5.0734E+00
  104.6654    3.0000    4.9918    4.9916    3.0303    1.7380    3.6519    0.8593  2.5573E+00     -0.2520  4.9772E+00
  104.6686    3.0000    4.9918    4.9916    3.0358    1.7418    3.6513    0.8593  2.5857E+00     -0.2520  4.8829E+00
  104.6718    3.0000    4.9918    4.9916    3.0412    1.7455    3.6508    0.8594  2.6142E+00     -0.2520  4.7905E+00
  104.6749    3.0000    4.9918    4.9916    3.0467    1.7493    3.6503    0.8594  2.6429E+00     -0.2520  4.7000E+00
  104.6780    3.0000    4.9918    4.9916    3.0521    1.7531    3.6498    0.8594  2.6716E+00     -0.2520  4.6112E+00
  104.6811    3.0000    4.9918    4.9916    3.0576    1.7569    3.6492    0.8595  2.7003E+00     -0.2520  4.5243E+00
  104.6842    3.0000    4.9918    4.9916    3.0630    1.7606    3.6487    0.8595  2.7292E+00     -0.2520  4.4391E+00
  104.6872    3.0000    4.9918    4.9916    3.0685    1.7644    3.6482    0.8596  2.7581E+00     -0.2520  4.3555E+00
  104.6902    3.0000    4.9918    4.9916    3.0740    1.7682    3.6477    0.8596  2.7871E+00     -0.2520  4.2737E+00
  104.6932    3.0000    4.9918    4.9916    3.0794    1.7720    3.6471    0.8596  2.8161E+00     -0.2520  4.1934E+00
  104.6961    3.0000    4.9918    4.9916    3.0849    1.7758    3.6466    0.8597  2.8452E+00     -0.2520  4.1148E+00
  104.6990    3.0000    4.9918    4.9915    3.0903    1.7796    3.6461    0.8597  2.8743E+00     -0.2520  4.0377E+00
  104.7019    3.0000    4.9918    4.9915    3.0958    1.7834    3.6455    0.8597  2.9034E+00     -0.2520  3.9621E+00
  104.7048    3.0000    4.9918    4.9915    3.1012    1.7872    3.6450    0.8598  2.9325E+00     -0.2520  3.8880E+00
  104.7076    3.0000    4.9918    4.9915    3.1067    1.7909    3.6445    0.8598  2.9617E+00     -0.2520  3.8154E+00
  104.7104    3.0000    4.9918    4.9915    3.1122    1.7947    3.6439    0.8599  2.9909E+00     -0.2520  3.7442E+00
  104.7131    3.0000    4.9918    4.9915    3.1176    1.7985    3.6434    0.8599  3.0200E+00     -0.2520  3.6744E+00
  104.7159    3.0000    4.9918    4.9915    3.1231    1.8023    3.6429    0.8599  3.0492E+00     -0.2520  3.6060E+00
  104.7186    3.0000    4.9918    4.9915    3.1285    1.8061    3.6423    0.8600  3.0783E+00     -0.2520  3.5389E+00
  104.7213    3.0000    4.9918    4.9915    3.1340    1.8099    3.6418    0.8600  3.1074E+00     -0.2520  3.4731E+00
  104.7239    3.0000    4.9918    4.9915    3.1394    1.8137    3.6413    0.8600  3.1364E+00     -0.2520  3.4086E+00
