planet_host,planet_letter,discovery_method,sma,sma_err1,sma_err2,ecc,ecc_err1,ecc_err2,host_gmag,host_gmag_err,companion_mag,companion_mag_err,companion_sep,rho,rho_err
WASP36,b,Transit,0.02677,0.00028,-0.00028,,,,12.628,,9.708,0.10400000000000001,1903.0,4.87072,0.00011
HD75289,b,Radial Velocity,0.05,0.0,0.0,0.03,0.03,-0.03,6.205,,12.603,0.092,631.0,21.64085,0.0001
55Cnc,b,Radial Velocity,0.115227,1e-06,-1e-06,0.0034,0.0032,-0.0032,5.714,,10.709000000000001,0.233,1068.0,,
55Cnc,c,Radial Velocity,0.24137600000000006,2.6e-05,-2.6e-05,0.02,0.031,-0.031,5.714,,10.709000000000001,0.233,1068.0,,
55Cnc,d,Radial Velocity,5.502999999999999,0.03,-0.03,0.019,0.013,-0.013,5.714,,10.709000000000001,0.233,1068.0,,
55Cnc,e,Radial Velocity,0.01544,9e-05,-9e-05,,,,5.714,,10.709000000000001,0.233,1068.0,,
55Cnc,f,Radial Velocity,0.7879999999999999,0.001,-0.001,0.305,0.075,-0.075,5.714,,10.709000000000001,0.233,1068.0,,
HD79498,b,Radial Velocity,2.98,0.15,-0.15,0.575,0.023,-0.023,7.886,,7.244,0.528,2939.0,59.95988,7e-05
HD80606,b,Radial Velocity,,,,0.93,0.0,0.0,8.82,,4.595,0.213,1366.0,20.51633,4e-05
KELT3,b,Transit,,,,0.0,,,9.763,,6.558,0.256,792.0,3.7457,0.00013
HD89744,b,Radial Velocity,0.917,0.009000000000000001,-0.009000000000000001,0.677,0.003,-0.003,5.586,,16.682000000000002,0.031,2440.0,63.08083,0.00049
HATP22,b,Transit,,,,0.02,0.01,-0.01,9.519,,8.033999999999999,0.135,751.0,9.16245,5e-05
WASP127,b,Transit,0.052000000000000005,0.0005,-0.0005,,,,10.054,,4.975,0.057,6486.0,40.48104,6e-05
WASP104,b,Transit,0.02918,0.00045,-0.00045,0.0,,,11.593,,11.599,0.094,1279.0,6.84229,0.00021
HD96167,b,Radial Velocity,1.332,0.098,-0.098,0.685,0.029,-0.029,7.928,,11.445,0.015,503.0,5.88726,0.00012
HD98736,b,Radial Velocity,1.864,0.091,-0.091,0.226,0.064,-0.064,7.754,,7.565,0.20800000000000002,165.0,5.07722,7e-05
K227,b,Transit,0.06702000000000001,0.0007099999999999999,-0.0007099999999999999,0.251,0.08800000000000001,-0.08800000000000001,12.453,,4.078,0.289,8147.0,2.97342,0.00026
K227,b,Transit,0.06702000000000001,0.0007099999999999999,-0.0007099999999999999,0.251,0.08800000000000001,-0.08800000000000001,12.453,,4.078,0.289,8147.0,2.97342,0.00026
HD99492,b,Radial Velocity,0.12,0.0,0.0,0.25,0.09,-0.09,7.26,,4.838,0.18,513.0,28.17809,0.00015
HD100655,b,Radial Velocity,0.68,0.04,-0.04,0.09,0.05,-0.05,6.172999999999999,,7.343999999999999,0.34,6791.0,49.31452,5e-05
HD101930,b,Radial Velocity,0.3,0.01,-0.01,0.11,0.02,-0.02,7.967,,6.815,0.265,2194.0,73.01396,5e-05
WASP129,b,Transit,0.0628,0.0007,-0.0007,0.096,,,11.813,,12.132,0.145,1320.0,4.33981,0.0004
HD102365,b,Radial Velocity,0.46,0.04,-0.04,0.34,0.14,-0.14,4.6560000000000015,,11.567,0.151,211.0,22.72165,0.00013
HD102956,b,Radial Velocity,0.0807,0.0073,-0.0073,0.037000000000000005,0.019,-0.019,7.608,,9.618,0.353,3901.0,31.89019,4e-05
HD103774,b,Radial Velocity,0.07,0.001,-0.001,0.09,0.04,-0.04,7.009,,9.826,0.376,351.0,6.20439,4e-05
WASP56,b,Transit,,,,0.0,,,12.003,,11.210999999999999,0.145,1108.0,3.42045,0.00036
HD107148,b,Radial Velocity,0.269,0.016,-0.016,0.05,0.17,-0.17,7.851,,13.809000000000001,0.152,1731.0,34.98177,7e-05
11Com,b,Radial Velocity,1.29,0.05,-0.05,0.231,0.005,-0.005,4.372,,7.171,0.301,895.0,9.58572,0.00015
WASP87,b,Transit,0.029460000000000007,0.00075,-0.00075,0.0,,,10.709,,5.303999999999999,0.11800000000000001,2434.0,8.08827,3e-05
HD108341,b,Radial Velocity,2.0,0.04,-0.04,0.85,0.09,-0.08,9.143,,9.469,0.099,383.0,7.81391,4e-05
HD109749,b,Radial Velocity,0.0615,0.004,-0.004,0.0,,,8.025,,6.0329999999999995,0.17800000000000002,529.0,8.37408,0.00026
HD113996,b,Radial Velocity,1.6,0.1,-0.1,0.28,0.12,-0.12,4.145,,11.151,0.71,5127.0,44.06578,0.00025
HD114729,b,Radial Velocity,2.067,0.01,-0.01,0.079,0.029,-0.032,6.5139999999999985,,9.88,0.28,310.0,8.19538,6e-05
WASP55,b,Transit,,,,0.0,,,11.775,,10.116,0.08,1308.0,4.36009,0.00013
HATP3,b,Transit,,,,0.0,,,11.28,,11.138,0.221,1324.0,9.79994,7e-05
HD125612,b,Radial Velocity,1.372,0.083,-0.083,0.4553,0.0055,-0.0055,8.156,,11.373,0.363,5194.0,89.98636,8e-05
HD125612,c,Radial Velocity,0.0524,0.0031,-0.0031,0.049,0.038,-0.038,8.156,,11.373,0.363,5194.0,89.98636,8e-05
HD125612,d,Radial Velocity,4.06,0.25,-0.25,0.1172,0.0056,-0.0056,8.156,,11.373,0.363,5194.0,89.98636,8e-05
KELT18,b,Transit,0.0455,0.00067,-0.0006900000000000001,0.0,,,10.104,,7.84,0.053,1110.0,3.42046,5e-05
HD126614,b,Radial Velocity,2.37,0.04,-0.04,0.41,0.1,-0.1,8.619,,10.387,0.212,3066.0,41.85162,8e-05
WASP14,b,Transit,,,,0.09,0.0,0.0,9.646,,11.134,0.205,1878.0,11.5397,8e-05
Qatar6,b,Transit,0.0423,0.0004,-0.0004,0.0,,,11.125,,10.998,0.10300000000000001,486.0,,
HD132563,b,Radial Velocity,2.62,0.04,-0.04,0.22,0.09,-0.09,8.857999999999997,,3.5789999999999997,0.114,430.0,4.0872,3e-05
WASP24,b,Transit,,,,0.0,,,11.394,,8.993,0.114,7097.0,21.83399,9e-05
HD142245,b,Radial Velocity,2.78,0.09,-0.09,0.0,,,7.189,,7.803999999999999,0.040999999999999995,244.0,,
HD147379,b,Radial Velocity,0.32299999999999995,0.005,-0.006,0.07,0.04,-0.04,7.901,,8.562000000000001,0.314,695.0,64.52451,4e-05
K231,b,Transit,0.022,0.0018,-0.0018,0.0,,,10.537,,13.501,0.20600000000000002,931.0,8.40147,0.00035
HD147513,b,Radial Velocity,1.32,,,0.26,0.05,-0.05,5.194,,10.374,0.147,4454.0,345.04218,0.00015
HD147873,b,Radial Velocity,0.522,0.018000000000000002,-0.018000000000000002,0.207,0.013,-0.013,7.818,,8.449,0.44,6494.0,59.37113,7e-05
HD147873,c,Radial Velocity,1.36,0.05,-0.05,0.23,0.03,-0.03,7.818,,8.449,0.44,6494.0,59.37113,7e-05
HATP67,b,Transit,0.06505,0.00273,-0.00079,0.0,,,9.975,,8.73,0.066,3419.0,9.09945,6e-05
HD155233,b,Radial Velocity,2.0,0.06,-0.06,0.04,0.04,-0.04,6.545,,9.566,0.068,916.0,12.31739,6e-05
HD164595,b,Radial Velocity,0.23,,,0.08800000000000001,0.12,-0.066,6.895,,9.155,0.424,2492.0,88.12501,3e-05
42Dra,b,Radial Velocity,1.19,0.01,-0.01,0.38,0.06,-0.06,4.364,,9.152999999999999,0.14800000000000002,2220.0,,
