pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
HD 130322,b,HD 130322 b,Radial Velocity,10.70871,0.00018,-0.00018,0,0.0925,,,0,0.029,0.016,-0.016,0,31.91,0.07,-0.07,0,7.834,,0,La Silla Observatory
HD 131496,b,HD 131496 b,Radial Velocity,896,16,-16,0,2.01,0.12,-0.12,0,0.181,0.06,-0.06,0,132.34,1.15,-1.15,0,7.521,,0,W. M. Keck Observatory
HD 131664,b,HD 131664 b,Radial Velocity,1951,41,-41,0,3.17,0.07,-0.07,0,0.64,0,0,0,52.89,0.1,-0.1,0,7.966,,0,La Silla Observatory
HD 13167,b,HD 13167 b,Radial Velocity,2613,17,-17,0,4.1,0.34,-0.34,0,0.563,0.033,-0.033,0,149.57,1.08,-1.08,0,8.16,,0,W. M. Keck Observatory
HD 13189,b,HD 13189 b,Radial Velocity,471.60001,6,-6,0,1.25,0.08,-0.08,0,0.27,0.06,-0.06,0,504.71,15.82,-15.82,0,7.017,,0,Thueringer Landessternwarte Tautenburg
HD 132406,b,HD 132406 b,Radial Velocity,974,39,-39,0,1.98,0.06,-0.06,0,0.34,0.09,-0.09,0,70.93,0.14,-0.14,0,8.281,,0,Haute-Provence Observatory
HD 132563,b,HD 132563 b,Radial Velocity,1544,34,-34,0,2.62,0.04,-0.04,0,0.22,0.09,-0.09,0,105.47,0.28,-0.28,0,8.858,,0,Roque de los Muchachos Observatory
HD 133131 A,b,HD 133131 A b,Radial Velocity,649,3,-3,0,1.44,0.005,-0.005,0,0.33,0.03,-0.03,0,47,,,0,8.275,,0,Las Campanas Observatory
HD 133131 A,c,HD 133131 A c,Radial Velocity,3568,1084,-1084,0,4.49,0.92,-0.92,0,0.49,0.22,-0.22,0,47,,,0,8.275,,0,Las Campanas Observatory
HD 133131 B,b,HD 133131 B b,Radial Velocity,5769,831,-831,0,6.15,0.59,-0.59,0,0.61,0.04,-0.04,0,47,,,0,8.257,,0,Las Campanas Observatory
HD 134060,b,HD 134060 b,Radial Velocity,3.2696,0.0001,-0.0001,0,0.0444,0.0013,-0.0014,0,0.45,0.04,-0.04,0,24.2,0.26,-0.26,0,6.133,,0,La Silla Observatory
HD 134060,c,HD 134060 c,Radial Velocity,1291.5646,48.0333,-44.2197,0,2.3928,0.0929,-0.0951,0,0.11,0.13,-0.07,0,24.2,0.26,-0.26,0,6.133,,0,La Silla Observatory
HD 134987,b,HD 134987 b,Radial Velocity,258.17999,0.07,-0.07,0,0.81,0.02,-0.02,0,0.23,0,0,0,26.2,0.05,-0.05,0,6.286,,0,W. M. Keck Observatory
HD 134987,c,HD 134987 c,Radial Velocity,5000,400,-400,0,5.8,0.5,-0.5,0,0.12,0.02,-0.02,0,26.2,0.05,-0.05,0,6.286,,0,Multiple Observatories
HD 136352,b,HD 136352 b,Radial Velocity,11.5824,0.0024,-0.0025,0,0.0934,0.0037,-0.004,0,0.14,0.08,-0.08,0,14.81,0.09,-0.09,0,5.462,,0,La Silla Observatory
HD 136352,c,HD 136352 c,Radial Velocity,27.5821,0.0089,-0.0086,0,0.1666,0.0066,-0.0072,0,0.04,0.05,-0.03,0,14.81,0.09,-0.09,0,5.462,,0,La Silla Observatory
HD 136352,d,HD 136352 d,Radial Velocity,107.5983,0.2796,-0.2669,0,0.4128,0.0163,-0.0175,0,0.09,0.1,-0.07,0,14.81,0.09,-0.09,0,5.462,,0,La Silla Observatory
HD 136418,b,HD 136418 b,Radial Velocity,464.29999,3.2,-3.2,0,1.29,0.03,-0.03,0,0.25,0.04,-0.04,0,105.49,0.31,-0.31,0,7.609,,0,W. M. Keck Observatory
HD 13724,b,HD 13724 b,Radial Velocity,14763.405,4901.655,-1599.795,0,12.4,2.6,-0.9,0,0.34,0.09,-0.05,0,43.52,0.05,-0.05,0,7.73,,0,La Silla Observatory
HD 137388,b,HD 137388 b,Radial Velocity,330,3,-3,0,0.89,0.02,-0.02,0,0.36,0.12,-0.12,0,40.53,0.05,-0.05,0,8.48,,0,La Silla Observatory
HD 13908,b,HD 13908 b,Radial Velocity,19.382,0.006,-0.006,0,0.154,0.0025,-0.0025,0,0.02,0.018,-0.018,0,79.73,0.22,-0.22,0,7.385,,0,Haute-Provence Observatory
HD 13908,c,HD 13908 c,Radial Velocity,931,17,-17,0,2.03,0.04,-0.04,0,0.12,0.02,-0.02,0,79.73,0.22,-0.22,0,7.385,,0,Haute-Provence Observatory
HD 13931,b,HD 13931 b,Radial Velocity,4218,390,-390,0,5.15,0.33,-0.33,0,0.02,0.04,-0.04,0,47.46,0.14,-0.14,0,7.455,,0,W. M. Keck Observatory
HD 139357,b,HD 139357 b,Radial Velocity,1125.7,9,-9,0,2.36,0.2,-0.2,0,0.1,0.02,-0.02,0,112.45,0.7,-0.7,0,5.612,,0,Thueringer Landessternwarte Tautenburg
HD 1397,b,HD 1397 b,Transit,11.53533,0.00079,-0.0008,0,0.1097,0.0011,-0.0013,0,0.251,0.02,-0.019,0,79.75,0.17,-0.17,0,7.593,,0,Transiting Exoplanet Survey Satellite (TESS)
HD 14067,b,HD 14067 b,Radial Velocity,1455,13,-12,0,3.4,0.1,-0.1,0,0.533,0.043,-0.047,0,142.6,0.84,-0.84,0,6.233,,0,Okayama Astrophysical Observatory
HD 141399,b,HD 141399 b,Radial Velocity,94.44,0.05,-0.05,0,0.415,0.011,-0.011,0,0.04,0.02,-0.02,0,36.2,0.5,-0.5,0,7.009,,0,Multiple Observatories
HD 141399,c,HD 141399 c,Radial Velocity,201.99,0.08,-0.08,0,0.689,0.02,-0.02,0,0.048,0.009,-0.009,0,36.2,0.5,-0.5,0,7.009,,0,Multiple Observatories
HD 141399,d,HD 141399 d,Radial Velocity,1069.8,6.7,-6.7,0,2.09,0.06,-0.06,0,0.074,0.025,-0.025,0,36.2,0.5,-0.5,0,7.009,,0,Multiple Observatories
HD 141399,e,HD 141399 e,Radial Velocity,5000,560,-2000,0,5,1.5,-1.5,0,0.26,0.22,-0.22,0,36.2,0.5,-0.5,0,7.009,,0,Multiple Observatories
HD 141937,b,HD 141937 b,Radial Velocity,653.21997,1.2,-1.2,0,1.5,0.03,-0.03,0,0.41,0.01,-0.01,0,33.39,0.07,-0.07,0,7.091,,0,La Silla Observatory
HD 142,b,HD 142 b,Radial Velocity,349.7,1.2,-1.2,0,1.02,0.03,-0.03,0,0.17,0.06,-0.06,0,26.21,0.04,-0.04,0,5.565,,0,Anglo-Australian Telescope
HD 142,c,HD 142 c,Radial Velocity,6005,477,-477,0,6.8,0.5,-0.5,0,0.21,0.07,-0.07,0,26.21,0.04,-0.04,0,5.565,,0,Anglo-Australian Telescope
HD 142022 A,b,HD 142022 A b,Radial Velocity,1928,46,-46,0,2.93,0.07,-0.07,0,0.53,0.2,-0.2,0,34.31,0.03,-0.03,0,7.514,,0,La Silla Observatory
HD 142245,b,HD 142245 b,Radial Velocity,1299,48,-48,0,2.78,0.09,-0.09,0,0,,,0,97.5,0.39,-0.39,0,7.189,,0,W. M. Keck Observatory
HD 142415,b,HD 142415 b,Radial Velocity,386.29999,1.6,-1.6,0,1.06,0.02,-0.02,0,0.5,,,0,35.57,0.04,-0.04,0,7.178,,0,La Silla Observatory
HD 143105,b,HD 143105 b,Radial Velocity,2.1974,0.0003,-0.0003,0,0.0379,0.0009,-0.0009,0,0.07,,,1,48.7,0.8,-0.8,0,6.626,,0,Haute-Provence Observatory
HD 143361,b,HD 143361 b,Radial Velocity,1039.15,1.64,-1.7,0,1.988,0.018,-0.018,0,0.197,0.006,-0.006,0,68.65,0.29,-0.29,0,9.016,,0,Las Campanas Observatory
HD 145377,b,HD 145377 b,Radial Velocity,103.95,0.13,-0.13,0,0.45,0.01,-0.01,0,0.31,0.02,-0.02,0,53.57,0.14,-0.14,0,7.97,,0,La Silla Observatory
HD 145457,b,HD 145457 b,Radial Velocity,176.3,0.39,-0.39,0,0.76,0.04,-0.04,0,0.11,0.04,-0.04,0,135.82,0.4,-0.4,0,6.279,,0,Subaru Telescope
HD 145934,b,HD 145934 b,Radial Velocity,2730,100,-100,0,4.6,0.14,-0.14,0,0.053,0.053,-0.063,0,229.35,2.41,-2.41,0,8.241,,0,W. M. Keck Observatory
HD 1461,b,HD 1461 b,Radial Velocity,5.77152,0.00045,-0.00045,0,0.0634,0.0022,-0.0022,0,0.172,,,1,23.47,0.03,-0.03,0,6.29,,0,W. M. Keck Observatory
HD 1461,c,HD 1461 c,Radial Velocity,13.5052,0.0029,-0.0029,0,0.1117,0.0039,-0.0039,0,0.305,,,1,23.47,0.03,-0.03,0,6.29,,0,La Silla Observatory
HD 147018,b,HD 147018 b,Radial Velocity,44.236,0.008,-0.008,0,0.2388,0.0039,-0.0039,0,0.4686,0.0081,-0.0081,0,42.96,1.59,-1.59,0,8.111,,0,La Silla Observatory
HD 147018,c,HD 147018 c,Radial Velocity,1008,18,-18,0,1.922,0.039,-0.039,0,0.133,0.011,-0.011,0,42.96,1.59,-1.59,0,8.111,,0,La Silla Observatory
HD 147379,b,HD 147379 b,Radial Velocity,86.78,0.16,-0.15,0,0.323,0.005,-0.006,0,0.07,0.04,-0.04,0,10.77,0,0,0,7.901,,0,Calar Alto Observatory
HD 147513,b,HD 147513 b,Radial Velocity,528.4,6.3,-6.3,0,1.32,,,0,0.26,0.05,-0.05,0,12.91,0.02,-0.02,0,5.194,,0,La Silla Observatory
HD 14787,b,HD 14787 b,Radial Velocity,676.6,8.1,-8.1,0,1.7,0.19,-0.19,0,0.155,0.073,-0.073,0,119.54,0.75,-0.75,0,7.378,,0,W. M. Keck Observatory
HD 147873,b,HD 147873 b,Radial Velocity,116.596,0.023,-0.023,0,0.522,0.018,-0.018,0,0.207,0.013,-0.013,0,109.38,1.01,-1.01,0,7.818,,0,Multiple Observatories
HD 147873,c,HD 147873 c,Radial Velocity,491.54,0.79,-0.79,0,1.36,0.05,-0.05,0,0.23,0.03,-0.03,0,109.38,1.01,-1.01,0,7.818,,0,Multiple Observatories
HD 148156,b,HD 148156 b,Radial Velocity,1027,28,-28,0,2.45,0.04,-0.05,0,0.52,0.04,-0.09,0,57.22,0.15,-0.15,0,7.555,,0,La Silla Observatory
HD 148164,b,HD 148164 b,Radial Velocity,328.55,0.41,-0.41,0,0.993,0.066,-0.066,0,0.587,0.026,-0.026,0,77.37,0.3,-0.3,0,8.091,,0,W. M. Keck Observatory
HD 148164,c,HD 148164 c,Radial Velocity,5062,114,-114,0,6.15,0.5,-0.5,0,0.125,0.017,-0.017,0,77.37,0.3,-0.3,0,8.091,,0,W. M. Keck Observatory
HD 148284,b,HD 148284 b,Radial Velocity,339.331,0.018,-0.018,0,0.974,0.079,-0.079,0,0.38926,0.00089,-0.00089,0,121.61,0.65,-0.65,0,8.835,,0,W. M. Keck Observatory
HD 148427,b,HD 148427 b,Radial Velocity,331.5,3,-3,0,1.04,0.02,-0.02,0,0.16,0.08,-0.08,0,71.5,0.31,-0.31,0,6.635,,0,Lick Observatory
HD 149026,b,HD 149026 b,Radial Velocity,2.87589,0.000002,-0.000002,0,,,,0,0,,,0,76.03,0.17,-0.17,0,8.014,,0,Subaru Telescope
HD 149143,b,HD 149143 b,Radial Velocity,4.07182,0.00001,-0.00001,0,0.053,0.0029,-0.0029,0,0.0167,0.004,-0.004,0,73.43,0.36,-0.36,0,7.741,,0,Haute-Provence Observatory
HD 1502,b,HD 1502 b,Radial Velocity,428.5,1.2,-1.2,0,1.262,0.092,-0.092,0,0.031,0.022,-0.022,0,191.96,2.78,-2.78,0,8.104,,0,W. M. Keck Observatory
HD 150706,b,HD 150706 b,Radial Velocity,5894,5584,-1498,0,6.7,4,-1.4,0,0.38,0.28,-0.32,0,28.29,0.02,-0.02,0,6.85,,0,Haute-Provence Observatory
HD 152079,b,HD 152079 b,Radial Velocity,2918.92,37.87,-39.28,0,4.187,0.051,-0.053,0,0.532,0.015,-0.016,0,88.11,0.36,-0.36,0,9.011,,0,Las Campanas Observatory
HD 152581,b,HD 152581 b,Radial Velocity,686.5,4.8,-4.8,0,1.66,0.3,-0.3,0,0.04,0.031,-0.031,0,166.54,1.17,-1.17,0,8.127,,0,W. M. Keck Observatory
HD 15337,b,HD 15337 b,Transit,4.75615,0.00017,-0.00017,0,0.0522,0.0012,-0.0012,0,0.09,0.05,-0.05,0,44.87,0.07,-0.07,0,8.856,,0,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,c,HD 15337 c,Transit,17.1784,0.0016,-0.0016,0,0.1268,0.0038,-0.0038,0,0.05,0.06,-0.04,0,44.87,0.07,-0.07,0,8.856,,0,Transiting Exoplanet Survey Satellite (TESS)
HD 153950,b,HD 153950 b,Radial Velocity,499.39999,3.6,-3.6,0,1.28,0.02,-0.02,0,0.34,0.02,-0.02,0,48.52,0.12,-0.12,0,7.238,,0,La Silla Observatory
HD 154345,b,HD 154345 b,Radial Velocity,3341.55884,93,-93,0,4.21,0.1,-0.1,0,0.04,0.05,-0.05,0,18.29,0.01,-0.01,0,6.568,,0,W. M. Keck Observatory
HD 154672,b,HD 154672 b,Radial Velocity,163.94,0.01,-0.01,0,0.6,0.02,-0.02,0,0.61,0.03,-0.03,0,63.16,0.19,-0.19,0,8.037,,0,Las Campanas Observatory
HD 154857,b,HD 154857 b,Radial Velocity,408.60001,0.5,-0.5,0,1.29,0.02,-0.02,0,0.46,0.02,-0.02,0,63.56,0.16,-0.16,0,7.048,,0,Anglo-Australian Telescope
HD 154857,c,HD 154857 c,Radial Velocity,3452,105,-105,0,5.36,0.09,-0.09,0,0.06,0.05,-0.05,0,63.56,0.16,-0.16,0,7.048,,0,Anglo-Australian Telescope
HD 155233,b,HD 155233 b,Radial Velocity,818.8,12.1,-12.1,0,2,0.06,-0.06,0,0.04,0.04,-0.04,0,75.13,3.33,-3.33,0,6.545,,0,Anglo-Australian Telescope
HD 155358,b,HD 155358 b,Radial Velocity,194.3,0.3,-0.3,0,0.63,0.02,-0.02,0,0.17,0.03,-0.03,0,43.67,0.05,-0.05,0,7.121,,0,McDonald Observatory
HD 155358,c,HD 155358 c,Radial Velocity,391.9,1,-1,0,1.02,0.02,-0.02,0,0.16,0.1,-0.1,0,43.67,0.05,-0.05,0,7.121,,0,McDonald Observatory
HD 156279,b,HD 156279 b,Radial Velocity,131.05,0.54,-0.54,0,0.49,0.01,-0.01,0,0.71,0.02,-0.02,0,36.23,0.04,-0.04,0,7.866,,0,Haute-Provence Observatory
HD 156279,c,HD 156279 c,Radial Velocity,4191,270,-310,0,,,,0,0.231,0.018,-0.021,0,36.23,0.04,-0.04,0,7.866,,0,W. M. Keck Observatory
HD 156411,b,HD 156411 b,Radial Velocity,842.2,14.5,-14.5,0,1.88,0.03,-0.04,0,0.22,0.08,-0.08,0,56.96,0.18,-0.18,0,6.512,,0,La Silla Observatory
HD 156668,b,HD 156668 b,Radial Velocity,4.6455,0.0011,-0.0011,0,0.05,0.0007,-0.0007,0,0,,,0,24.35,0.02,-0.02,0,8.108,,0,W. M. Keck Observatory
HD 156846,b,HD 156846 b,Radial Velocity,359.51001,0.09,-0.09,0,1.12,0.02,-0.02,0,0.85,0,0,0,47.8,0.12,-0.12,0,6.358,,0,La Silla Observatory
HD 158038,b,HD 158038 b,Radial Velocity,521,6.9,-6.9,0,1.5,0.04,-0.04,0,0.29,0.09,-0.09,0,95.12,0.23,-0.23,0,7.207,,0,W. M. Keck Observatory
HD 158996,b,HD 158996 b,Radial Velocity,820.2,14,-14,0,2.1,0.2,-0.2,0,0.13,0.05,-0.05,0,285.91,4.61,-4.61,0,5.152,,0,Bohyunsan Optical Astronomical Observatory
HD 159243,b,HD 159243 b,Radial Velocity,12.62,0.004,-0.004,0,0.11,0.002,-0.002,0,0.02,0.018,-0.018,0,73.46,0.23,-0.23,0,8.512,,0,Haute-Provence Observatory
HD 159243,c,HD 159243 c,Radial Velocity,248.4,4.9,-4.9,0,0.8,0.02,-0.02,0,0.075,0.05,-0.05,0,73.46,0.23,-0.23,0,8.512,,0,Haute-Provence Observatory
HD 159868,b,HD 159868 b,Radial Velocity,1184.1,7.1,-7.1,0,2.32,0.14,-0.14,0,0.024,0.019,-0.019,0,55.94,0.17,-0.17,0,7.046,,0,Anglo-Australian Telescope
HD 159868,c,HD 159868 c,Radial Velocity,351,1.1,-1.1,0,1.032,0.064,-0.064,0,0.184,0.037,-0.037,0,55.94,0.17,-0.17,0,7.046,,0,Anglo-Australian Telescope
HD 1605,b,HD 1605 b,Radial Velocity,577.2,2.5,-2.5,0,1.492,0.038,-0.038,0,0.095,0.057,-0.057,0,89.03,0.37,-0.37,0,7.257,,0,Multiple Observatories
HD 1605,c,HD 1605 c,Radial Velocity,2149,16,-16,0,3.584,0.099,-0.099,0,0.099,0.011,-0.011,0,89.03,0.37,-0.37,0,7.257,,0,Multiple Observatories
HD 160691,b,HD 160691 b,Radial Velocity,643.25,0.9,-0.9,0,1.497,,,0,0.128,0.017,-0.017,0,15.61,0.03,-0.03,0,4.905,,0,Anglo-Australian Telescope
HD 160691,c,HD 160691 c,Radial Velocity,4205.8,758.9,-758.9,0,5.235,,,0,0.0985,0.0627,-0.0627,0,15.61,0.03,-0.03,0,4.905,,0,Anglo-Australian Telescope
HD 160691,d,HD 160691 d,Radial Velocity,9.6386,0.0015,-0.0015,0,0.09094,,,0,0.172,0.04,-0.04,0,15.61,0.03,-0.03,0,4.905,,0,La Silla Observatory
HD 160691,e,HD 160691 e,Radial Velocity,310.55,0.83,-0.83,0,0.921,,,0,0.0666,0.0122,-0.0122,0,15.61,0.03,-0.03,0,4.905,,0,La Silla Observatory
HD 16141,b,HD 16141 b,Radial Velocity,75.523,0.055,-0.055,0,0.36,0.01,-0.01,0,0.25,0.05,-0.05,0,37.83,0.08,-0.08,0,6.658,,0,W. M. Keck Observatory
HD 16175,b,HD 16175 b,Radial Velocity,990,20,-20,0,2.12,0.07,-0.07,0,0.6,0.11,-0.11,0,59.96,0.25,-0.25,0,7.129,,0,Lick Observatory
HD 162020,b,HD 162020 b,Radial Velocity,8.4282,0.000056,-0.000056,0,0.08,0,0,0,0.28,0,0,0,30.85,0.07,-0.07,0,8.759,,0,La Silla Observatory
HD 163607,b,HD 163607 b,Radial Velocity,75.2203,0.0094,-0.0094,0,0.362,0.016,-0.016,0,0.7441,0.0071,-0.0071,0,67.92,0.16,-0.16,0,7.813,,0,W. M. Keck Observatory
HD 163607,c,HD 163607 c,Radial Velocity,1272,4.4,-4.4,0,2.39,0.11,-0.11,0,0.08,0.014,-0.014,0,67.92,0.16,-0.16,0,7.813,,0,W. M. Keck Observatory
HD 16417,b,HD 16417 b,Radial Velocity,17.24,0.01,-0.01,0,0.14,0.01,-0.01,0,0.2,0.09,-0.09,0,25.41,0.04,-0.04,0,5.594,,0,Anglo-Australian Telescope
HD 164509,b,HD 164509 b,Radial Velocity,280.17,0.82,-0.82,0,0.87,0.051,-0.051,0,0.238,0.062,-0.062,0,53.19,0.14,-0.14,0,7.956,,0,W. M. Keck Observatory
HD 164595,b,HD 164595 b,Radial Velocity,40,0.24,-0.24,0,0.23,,,0,0.088,0.12,-0.066,0,28.28,0.02,-0.02,0,6.895,,0,Haute-Provence Observatory
HD 164604,b,HD 164604 b,Radial Velocity,641.472,10.129,-10.129,0,1.331,0.029,-0.029,0,0.35,0.1,-0.1,0,39.41,0.1,-0.1,0,9.328,,0,Las Campanas Observatory
HD 164922,b,HD 164922 b,Radial Velocity,1155,23,-23,0,2.1,0.04,-0.04,0,0.05,0.09,-0.09,0,22.02,0.02,-0.02,0,6.786,,0,W. M. Keck Observatory
HD 164922,c,HD 164922 c,Radial Velocity,75.765,0.058,-0.056,0,0.3351,0.0015,-0.0015,0,0.22,0.13,-0.13,0,22.02,0.02,-0.02,0,6.786,,0,Multiple Observatories
HD 165155,b,HD 165155 b,Radial Velocity,434.5,2.1,-2.1,0,1.13,0.04,-0.04,0,0.2,0.03,-0.03,0,63.47,0.22,-0.22,0,9.214,,0,Multiple Observatories
HD 1666,b,HD 1666 b,Radial Velocity,270,0.8,-0.9,0,0.94,0.01,-0.02,0,0.63,0.03,-0.02,0,118.31,0.68,-0.68,0,8.051,,0,Multiple Observatories
HD 166724,b,HD 166724 b,Radial Velocity,5144,705,-467,0,5.42,0.43,-0.43,0,0.734,0.02,-0.02,0,45.19,0.09,-0.09,0,9.069,,0,La Silla Observatory
HD 167042,b,HD 167042 b,Radial Velocity,420.77,3.48,-3.11,0,1.32,0.03,-0.04,0,0.089,0.028,-0.065,0,49.73,0.13,-0.13,0,5.708,,0,Lick Observatory
HD 168443,b,HD 168443 b,Radial Velocity,58.11247,0.0003,-0.0003,0,0.2931,0.00181,,0,0.52883,0.00103,-0.00103,0,39.67,0.12,-0.12,0,6.732,,0,W. M. Keck Observatory
HD 168443,c,HD 168443 c,Radial Velocity,1749.83,0.57,-0.57,0,2.8373,0.018,-0.018,0,0.2113,0.00171,-0.00171,0,39.67,0.12,-0.12,0,6.732,,0,W. M. Keck Observatory
HD 168746,b,HD 168746 b,Radial Velocity,6.404,0.0014,-0.0014,0,0.07,0,0,0,0.11,0.08,-0.08,0,41.62,0.1,-0.1,0,7.772,,0,La Silla Observatory
HD 1690,b,HD 1690 b,Radial Velocity,533,1.7,-1.7,0,1.36,0.09,-0.09,0,0.64,0.04,-0.04,0,769.37,28.93,-28.93,0,8.749,,0,La Silla Observatory
HD 169830,b,HD 169830 b,Radial Velocity,225.62,0.22,-0.22,0,0.81,,,0,0.31,0.01,-0.01,0,37.64,0.15,-0.15,0,5.762,,0,La Silla Observatory
HD 169830,c,HD 169830 c,Radial Velocity,2102,264,-264,0,3.6,,,0,0.33,0.02,-0.02,0,37.64,0.15,-0.15,0,5.762,,0,La Silla Observatory
HD 170469,b,HD 170469 b,Radial Velocity,1145,18,-18,0,2.24,0.05,-0.05,0,0.11,0.08,-0.08,0,60.28,0.15,-0.15,0,8.05,,0,W. M. Keck Observatory
HD 17092,b,HD 17092 b,Radial Velocity,359.89999,2.4,-2.4,0,1.31,0.06,-0.06,0,0.17,0.05,-0.05,0,229.89,2.73,-2.73,0,7.34,,0,McDonald Observatory
HD 171028,b,HD 171028 b,Radial Velocity,550,3,-3,0,1.32,0.03,-0.03,0,0.59,0.01,-0.01,0,112.01,0.62,-0.62,0,8.102,,0,La Silla Observatory
HD 171238,b,HD 171238 b,Radial Velocity,1532,12,-12,0,2.57,0.16,-0.16,0,0.234,0.028,-0.028,0,44.87,0.11,-0.11,0,8.411,,0,La Silla Observatory
HD 17156,b,HD 17156 b,Radial Velocity,21.21663,0.00045,-0.00045,0,,,,0,0.68,0,0,0,78.26,0.24,-0.24,0,8.033,,0,Subaru Telescope
HD 173416,b,HD 173416 b,Radial Velocity,323.6,2.2,-2.2,0,1.16,0.06,-0.06,0,0.21,0.04,-0.04,0,132.68,0.74,-0.74,0,5.742,,0,Xinglong Station
HD 175167,b,HD 175167 b,Radial Velocity,1290,22,-22,0,2.4,0.05,-0.05,0,0.54,0.09,-0.09,0,71.23,0.17,-0.17,0,7.824,,0,Las Campanas Observatory
HD 175541,b,HD 175541 b,Radial Velocity,298.43,0.45,-0.45,0,0.975,0.087,-0.087,0,0.11,0.049,-0.049,0,130.08,1.01,-1.01,0,7.759,,0,W. M. Keck Observatory
HD 175607,b,HD 175607 b,Radial Velocity,29.01,0.02,-0.02,0,,,,,0.11,0.09,-0.07,0,40.38,0.06,-0.06,0,8.41,,0,La Silla Observatory
HD 17674,b,HD 17674 b,Radial Velocity,623.8,1.6,-1.5,0,1.42,0.04,-0.05,0,0.13,,,1,44.48,0.09,-0.09,0,7.401,,0,Haute-Provence Observatory
HD 176986,b,HD 176986 b,Radial Velocity,6.4898,0.00086,-0.00086,0,0.06296,0.00013,-0.00013,0,0.066,0.066,-0.066,0,27.81,0.05,-0.05,0,8.142,,0,Multiple Observatories
HD 176986,c,HD 176986 c,Radial Velocity,16.8191,0.0044,-0.0044,0,0.11878,0.00025,-0.00025,0,0.111,0.08,-0.08,0,27.81,0.05,-0.05,0,8.142,,0,Multiple Observatories
HD 177565,b,HD 177565 b,Radial Velocity,44.505,0.586,-0.293,0,0.246,0.019,-0.019,0,0.0593,0.1717,-0.05745,0,16.93,0.02,-0.02,0,5.965,,0,La Silla Observatory
HD 177830,b,HD 177830 b,Radial Velocity,410.10001,2.2,-2.2,0,1.14,0.03,-0.03,0,0.1,0.05,-0.05,0,62.88,0.12,-0.12,0,6.887,,0,W. M. Keck Observatory
HD 177830,c,HD 177830 c,Radial Velocity,110.9,0.1,-0.1,0,0.5137,0.0003,-0.0003,0,0.3,0.1,-0.1,0,62.88,0.12,-0.12,0,6.887,,0,W. M. Keck Observatory
HD 178911 B,b,HD 178911 B b,Radial Velocity,71.484,0.02,-0.02,0,0.34,0.01,-0.01,0,0.11,0,0,0,41.02,0.05,-0.05,0,7.867,,0,W. M. Keck Observatory
HD 179079,b,HD 179079 b,Radial Velocity,14.479,0.01,-0.01,0,0.1214,0.0068,-0.0068,0,0.049,0.087,-0.087,0,69.85,0.39,-0.39,0,7.775,,0,W. M. Keck Observatory
HD 179949,b,HD 179949 b,Radial Velocity,3.092514,0.000032,-0.000032,0,0.0443,0.0026,-0.0026,0,0.022,0.015,-0.015,0,27.48,0.06,-0.06,0,6.104,,0,Anglo-Australian Telescope
HD 180053,b,HD 180053 b,Radial Velocity,213.72,0.47,-0.47,0,0.843,0.063,-0.063,0,0.081,0.029,-0.029,0,137.59,0.61,-0.61,0,7.703,,0,W. M. Keck Observatory
HD 18015,b,HD 18015 b,Radial Velocity,2278,71,-71,0,3.87,0.32,-0.32,0,0.148,0.061,-0.061,0,124.24,0.8,-0.8,0,7.722,,0,W. M. Keck Observatory
HD 180314,b,HD 180314 b,Radial Velocity,396.03,0.62,-0.62,0,1.46,0.06,-0.06,0,0.26,0.01,-0.01,0,122.79,0.45,-0.45,0,6.342,,0,Subaru Telescope
HD 180617,b,HD 180617 b,Radial Velocity,105.9,0.09,-0.1,0,0.3357,0.0099,-0.01,0,0.16,0.05,-0.1,0,5.91,0.02,-0.02,0,8.098,,0,Calar Alto Observatory
HD 180902,b,HD 180902 b,Radial Velocity,510.9,1.5,-1.5,0,1.4,0.11,-0.11,0,0.107,0.022,-0.022,0,104.89,0.57,-0.57,0,7.521,,0,W. M. Keck Observatory
HD 181234,b,HD 181234 b,Radial Velocity,7462.0575,80.355,-76.7025,0,7.52,0.16,-0.16,0,0.73,0.01,-0.01,0,47.81,0.13,-0.13,0,8.369,,0,La Silla Observatory
HD 181342,b,HD 181342 b,Radial Velocity,564.1,4.1,-4.1,0,1.592,0.091,-0.091,0,0.022,0.051,-0.051,0,120.81,0.69,-0.69,0,7.284,,0,W. M. Keck Observatory
HD 181433,b,HD 181433 b,Radial Velocity,9.3743,0.0019,-0.0019,0,0.08,0,0,0,0.4,0.06,-0.06,0,26.9,0.02,-0.02,0,8.092,,0,La Silla Observatory
HD 181433,c,HD 181433 c,Radial Velocity,962,15,-15,0,1.76,,,0,0.28,0.02,-0.02,0,26.9,0.02,-0.02,0,8.092,,0,La Silla Observatory
HD 181433,d,HD 181433 d,Radial Velocity,2172,158,-158,0,3,,,0,0.48,0.05,-0.05,0,26.9,0.02,-0.02,0,8.092,,0,La Silla Observatory
HD 181720,b,HD 181720 b,Radial Velocity,956,14,-14,0,1.85,0.04,-0.04,0,0.26,0.06,-0.06,0,60.31,0.24,-0.24,0,7.675,,0,La Silla Observatory
