pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
HD 171238,b,HD 171238 b,Radial Velocity,2.57,0.16,-0.16,0,0.234,0.028,-0.028,0,0,La Silla Observatory
HD 17156,b,HD 17156 b,Radial Velocity,,,,0,0.68,0,0,0,0,Subaru Telescope
HD 173416,b,HD 173416 b,Radial Velocity,1.16,0.06,-0.06,0,0.21,0.04,-0.04,0,0,Xinglong Station
HD 175167,b,HD 175167 b,Radial Velocity,2.4,0.05,-0.05,0,0.54,0.09,-0.09,0,0,Las Campanas Observatory
HD 175541,b,HD 175541 b,Radial Velocity,0.975,0.087,-0.087,0,0.11,0.049,-0.049,0,0,W. M. Keck Observatory
HD 175607,b,HD 175607 b,Radial Velocity,,,,,0.11,0.09,-0.07,0,0,La Silla Observatory
HD 17674,b,HD 17674 b,Radial Velocity,1.42,0.04,-0.05,0,0.13,,,1,0,Haute-Provence Observatory
HD 176986,b,HD 176986 b,Radial Velocity,0.06296,0.00013,-0.00013,0,0.066,0.066,-0.066,0,0,Multiple Observatories
HD 176986,c,HD 176986 c,Radial Velocity,0.11878,0.00025,-0.00025,0,0.111,0.08,-0.08,0,0,Multiple Observatories
HD 177565,b,HD 177565 b,Radial Velocity,0.246,0.019,-0.019,0,0.0593,0.1717,-0.05745,0,0,La Silla Observatory
HD 177830,b,HD 177830 b,Radial Velocity,1.14,0.03,-0.03,0,0.1,0.05,-0.05,0,0,W. M. Keck Observatory
HD 177830,c,HD 177830 c,Radial Velocity,0.5137,0.0003,-0.0003,0,0.3,0.1,-0.1,0,0,W. M. Keck Observatory
HD 178911 B,b,HD 178911 B b,Radial Velocity,0.34,0.01,-0.01,0,0.11,0,0,0,0,W. M. Keck Observatory
HD 179079,b,HD 179079 b,Radial Velocity,0.1214,0.0068,-0.0068,0,0.049,0.087,-0.087,0,0,W. M. Keck Observatory
HD 179949,b,HD 179949 b,Radial Velocity,0.0443,0.0026,-0.0026,0,0.022,0.015,-0.015,0,0,Anglo-Australian Telescope
HD 180053,b,HD 180053 b,Radial Velocity,0.843,0.063,-0.063,0,0.081,0.029,-0.029,0,0,W. M. Keck Observatory
HD 18015,b,HD 18015 b,Radial Velocity,3.87,0.32,-0.32,0,0.148,0.061,-0.061,0,0,W. M. Keck Observatory
HD 180314,b,HD 180314 b,Radial Velocity,1.46,0.06,-0.06,0,0.26,0.01,-0.01,0,0,Subaru Telescope
HD 180617,b,HD 180617 b,Radial Velocity,0.3357,0.0099,-0.01,0,0.16,0.05,-0.1,0,0,Calar Alto Observatory
HD 180902,b,HD 180902 b,Radial Velocity,1.4,0.11,-0.11,0,0.107,0.022,-0.022,0,0,W. M. Keck Observatory
HD 181234,b,HD 181234 b,Radial Velocity,7.52,0.16,-0.16,0,0.73,0.01,-0.01,0,0,La Silla Observatory
HD 181342,b,HD 181342 b,Radial Velocity,1.592,0.091,-0.091,0,0.022,0.051,-0.051,0,0,W. M. Keck Observatory
HD 181433,b,HD 181433 b,Radial Velocity,0.08,0,0,0,0.4,0.06,-0.06,0,0,La Silla Observatory
HD 181433,c,HD 181433 c,Radial Velocity,1.76,,,0,0.28,0.02,-0.02,0,0,La Silla Observatory
HD 181433,d,HD 181433 d,Radial Velocity,3,,,0,0.48,0.05,-0.05,0,0,La Silla Observatory
HD 181720,b,HD 181720 b,Radial Velocity,1.85,0.04,-0.04,0,0.26,0.06,-0.06,0,0,La Silla Observatory
HD 183263,b,HD 183263 b,Radial Velocity,1.49,0.02,-0.02,0,0.36,0.01,-0.01,0,0,W. M. Keck Observatory
HD 183263,c,HD 183263 c,Radial Velocity,4.35,0.28,-0.28,0,0.239,0.064,-0.064,0,0,W. M. Keck Observatory
HD 185269,b,HD 185269 b,Radial Velocity,0.077,0.0034,-0.0034,0,0.229,0.014,-0.014,0,0,Lick Observatory
HD 187085,b,HD 187085 b,Radial Velocity,2.1,0.032,-0.032,0,0.251,0.221,-0.191,0,0,Anglo-Australian Telescope
HD 187123,b,HD 187123 b,Radial Velocity,0.0426,0.0025,-0.0025,0,0.0103,0.0059,-0.0059,0,0,W. M. Keck Observatory
HD 187123,c,HD 187123 c,Radial Velocity,4.89,0.53,-0.53,0,0.252,0.033,-0.033,0,0,W. M. Keck Observatory
HD 18742,b,HD 18742 b,Radial Velocity,1.82,0.14,-0.14,0,0.04,0.035,-0.035,0,0,W. M. Keck Observatory
HD 188015,b,HD 188015 b,Radial Velocity,1.203,0.07,-0.07,0,0.137,0.026,-0.026,0,0,W. M. Keck Observatory
HD 189733,b,HD 189733 b,Radial Velocity,,,,0,0,,,0,0,Haute-Provence Observatory
HD 190360,b,HD 190360 b,Radial Velocity,3.97,0.07,-0.07,0,0.31,0.02,-0.02,0,0,Haute-Provence Observatory
HD 190360,c,HD 190360 c,Radial Velocity,0.1304,0.0075,-0.0075,0,0.237,0.082,-0.082,0,0,W. M. Keck Observatory
HD 190647,b,HD 190647 b,Radial Velocity,2.231,0.019,-0.019,0,0.224,0.014,-0.014,0,0,La Silla Observatory
HD 190984,b,HD 190984 b,Radial Velocity,5.5,,,0,0.57,0.1,-0.1,0,0,La Silla Observatory
HD 191806,b,HD 191806 b,Radial Velocity,2.8,0.1,-0.1,0,0.259,0.017,-0.017,0,0,Haute-Provence Observatory
HD 192263,b,HD 192263 b,Radial Velocity,0.15,0,0,0,0.05,0.04,-0.04,0,0,La Silla Observatory
HD 192310,b,HD 192310 b,Radial Velocity,0.32,0.005,-0.005,0,0.13,0.04,-0.04,0,0,La Silla Observatory
HD 192310,c,HD 192310 c,Radial Velocity,1.18,0.025,-0.025,0,0.32,0.11,-0.11,0,0,La Silla Observatory
HD 192699,b,HD 192699 b,Radial Velocity,1.063,0.049,-0.049,0,0.082,0.041,-0.041,0,0,Lick Observatory
HD 195019,b,HD 195019 b,Radial Velocity,0.14,0,0,0,0.01,0,0,0,0,Lick Observatory
HD 196050,b,HD 196050 b,Radial Velocity,2.51,0.05,-0.05,0,0.23,0.04,-0.04,0,0,Anglo-Australian Telescope
HD 196067,b,HD 196067 b,Radial Velocity,5.02,0.19,-0.19,0,0.66,0.18,-0.09,0,0,La Silla Observatory
HD 196885 A,b,HD 196885 A b,Radial Velocity,2.37,0.02,-0.02,0,0.48,0.06,-0.06,0,0,Haute-Provence Observatory
HD 197037,b,HD 197037 b,Radial Velocity,2.07,0.05,-0.05,0,0.22,0.07,-0.07,0,0,McDonald Observatory
HD 19994,b,HD 19994 b,Radial Velocity,1.305,0.016,-0.016,0,0.063,0.062,-0.062,0,0,La Silla Observatory
HD 20003,b,HD 20003 b,Radial Velocity,0.0974,0.0034,-0.0039,0,0.36,0.05,-0.05,0,0,La Silla Observatory
HD 20003,c,HD 20003 c,Radial Velocity,0.1964,0.0068,-0.0078,0,0.1,0.08,-0.07,0,0,La Silla Observatory
HD 200964,b,HD 200964 b,Radial Velocity,1.565,0.083,-0.083,0,0.087,0.035,-0.035,0,0,Lick Observatory
HD 200964,c,HD 200964 c,Radial Velocity,1.96,0.1,-0.1,0,0.243,0.047,-0.047,0,0,Lick Observatory
HD 202206,c,HD 202206 c,Radial Velocity,2.41,,,0,0.22,0.03,-0.03,0,1,La Silla Observatory
HD 202696,b,HD 202696 b,Radial Velocity,1.566,0.016,-0.007,0,0.011,0.078,-0.011,0,0,W. M. Keck Observatory
HD 202696,c,HD 202696 c,Radial Velocity,2.342,0.034,-0.035,0,0.028,0.065,-0.012,0,0,W. M. Keck Observatory
HD 202772 A,b,HD 202772 A b,Transit,0.05208,0.00064,-0.00068,0,0.038,0.042,-0.027,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 203030,b,HD 203030 b,Imaging,487.1,1.8,-1.8,0,,,,,0,Palomar Observatory
HD 203473,b,HD 203473 b,Radial Velocity,2.73,0.17,-0.17,0,0.289,0.01,-0.01,0,0,W. M. Keck Observatory
HD 2039,b,HD 2039 b,Radial Velocity,2.2,0.06,-0.06,0,0.71,0.05,-0.05,0,0,Anglo-Australian Telescope
HD 204313,b,HD 204313 b,Radial Velocity,3.07,0.06,-0.06,0,0.23,0.04,-0.04,0,0,La Silla Observatory
HD 204313,c,HD 204313 c,Radial Velocity,0.2099,0.0071,-0.0071,0,0.155,0.071,-0.071,0,0,La Silla Observatory
HD 204941,b,HD 204941 b,Radial Velocity,2.55,0.08,-0.08,0,0.37,0.08,-0.08,0,0,La Silla Observatory
HD 205739,b,HD 205739 b,Radial Velocity,0.896,0.019,-0.015,0,0.27,0.07,-0.07,0,0,Las Campanas Observatory
HD 206255,b,HD 206255 b,Radial Velocity,0.461,0.009,-0.009,0,0.23,0.11,-0.11,0,0,Las Campanas Observatory
HD 206610,b,HD 206610 b,Radial Velocity,1.74,0.33,-0.33,0,0.1,0.042,-0.042,0,0,W. M. Keck Observatory
HD 20781,b,HD 20781 b,Radial Velocity,0.0529,0.0024,-0.0027,0,0.1,0.11,-0.07,0,0,La Silla Observatory
HD 20781,c,HD 20781 c,Radial Velocity,0.1004,0.0046,-0.0051,0,0.09,0.09,-0.06,0,0,La Silla Observatory
HD 20781,d,HD 20781 d,Radial Velocity,0.1647,0.0076,-0.0083,0,0.11,0.05,-0.06,0,0,La Silla Observatory
HD 20781,e,HD 20781 e,Radial Velocity,0.3374,0.0155,-0.017,0,0.06,0.06,-0.04,0,0,La Silla Observatory
HD 20782,b,HD 20782 b,Radial Velocity,1.3649,0.0466,-0.0495,0,0.95,0.001,-0.001,0,0,Anglo-Australian Telescope
HD 207832,b,HD 207832 b,Radial Velocity,0.586,0.032,-0.032,0,0.197,0.053,-0.053,0,0,W. M. Keck Observatory
HD 207832,c,HD 207832 c,Radial Velocity,2.112,0.087,-0.045,0,0.27,0.22,-0.1,0,0,W. M. Keck Observatory
HD 20794,b,HD 20794 b,Radial Velocity,0.1207,0.002,-0.002,0,0,,,0,0,La Silla Observatory
HD 20794,c,HD 20794 c,Radial Velocity,0.2036,0.0034,-0.0034,0,0,,,0,0,La Silla Observatory
HD 20794,d,HD 20794 d,Radial Velocity,0.3499,0.0059,-0.0059,0,0,,,0,0,La Silla Observatory
HD 20794,e,HD 20794 e,Radial Velocity,0.509,0.006,-0.006,0,0.29,0.14,-0.18,0,0,La Silla Observatory
HD 208487,b,HD 208487 b,Radial Velocity,0.524,0.03,-0.03,0,0.24,0.16,-0.16,0,0,Anglo-Australian Telescope
HD 208527,b,HD 208527 b,Radial Velocity,2.1,0.2,-0.2,0,0.08,0.04,-0.04,0,0,Bohyunsan Optical Astronomical Observatory
HD 20868,b,HD 20868 b,Radial Velocity,0.95,0.02,-0.02,0,0.75,0,0,0,0,La Silla Observatory
HD 208897,b,HD 208897 b,Radial Velocity,1.05,0.03,-0.03,0,0.07,0.06,-0.06,0,0,Multiple Observatories
HD 209458,b,HD 209458 b,Radial Velocity,,,,0,0,,,0,0,W. M. Keck Observatory
HD 210193,b,HD 210193 b,Radial Velocity,1.487,0.031,-0.031,0,0.24,0.09,-0.09,0,0,Las Campanas Observatory
HD 210277,b,HD 210277 b,Radial Velocity,1.13,0.02,-0.02,0,0.48,0.02,-0.02,0,0,W. M. Keck Observatory
HD 210702,b,HD 210702 b,Radial Velocity,1.148,0.057,-0.057,0,0.028,0.034,-0.034,0,0,Lick Observatory
HD 211810,b,HD 211810 b,Radial Velocity,2.656,0.043,-0.043,0,0.68,0.14,-0.14,0,0,W. M. Keck Observatory
HD 211970,b,HD 211970 b,Radial Velocity,0.143,0.003,-0.003,0,0.15,0.1,-0.1,0,0,Las Campanas Observatory
HD 212301,b,HD 212301 b,Radial Velocity,0.03,0,0,0,0,,,0,0,La Silla Observatory
HD 212771,b,HD 212771 b,Radial Velocity,1.19,0.13,-0.13,0,0.076,0.051,-0.051,0,0,W. M. Keck Observatory
HD 213240,b,HD 213240 b,Radial Velocity,1.89,0.03,-0.03,0,0.42,0.01,-0.01,0,0,La Silla Observatory
HD 213885,b,HD 213885 b,Transit,0.02012,0.00015,-0.00012,0,0,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 213885,c,HD 213885 c,Radial Velocity,0.056798,0.00044,-0.00032,0,0,,,0,0,Multiple Observatories
HD 21411,b,HD 21411 b,Radial Velocity,0.362,0.007,-0.007,0,0.4,0.15,-0.15,0,0,Las Campanas Observatory
HD 214823,b,HD 214823 b,Radial Velocity,3.23,0.2,-0.2,0,0.1641,0.0026,-0.0026,0,0,Haute-Provence Observatory
HD 215152,b,HD 215152 b,Radial Velocity,0.057638,0.000739,-0.000759,0,0,,,0,0,La Silla Observatory
HD 215152,c,HD 215152 c,Radial Velocity,0.067393,0.00086,-0.000893,0,0,,,0,0,La Silla Observatory
HD 215152,d,HD 215152 d,Radial Velocity,0.08799,0.00113,-0.00116,0,0,,,0,0,La Silla Observatory
HD 215152,e,HD 215152 e,Radial Velocity,0.15417,0.00199,-0.00204,0,0,,,0,0,La Silla Observatory
HD 215497,b,HD 215497 b,Radial Velocity,0.05,0,0,0,0.16,0.09,-0.09,0,0,La Silla Observatory
HD 215497,c,HD 215497 c,Radial Velocity,1.282,,,0,0.49,0.04,-0.04,0,0,La Silla Observatory
HD 216435,b,HD 216435 b,Radial Velocity,2.56,0.17,-0.17,0,0.07,0.078,-0.078,0,0,Anglo-Australian Telescope
HD 216437,b,HD 216437 b,Radial Velocity,2.497,0.036,-0.037,0,0.317,0.028,-0.027,0,0,Anglo-Australian Telescope
HD 216536,b,HD 216536 b,Radial Velocity,0.61,0.06,-0.06,0,0.38,0.11,-0.11,0,0,McDonald Observatory
HD 216770,b,HD 216770 b,Radial Velocity,0.46,0.01,-0.01,0,0.37,0.06,-0.06,0,0,La Silla Observatory
HD 21693,b,HD 21693 b,Radial Velocity,0.1455,0.0058,-0.0063,0,0.12,0.09,-0.08,0,0,La Silla Observatory
HD 21693,c,HD 21693 c,Radial Velocity,0.2586,0.0103,-0.0113,0,0.07,0.06,-0.05,0,0,La Silla Observatory
HD 217107,b,HD 217107 b,Radial Velocity,0.08,0,0,0,0.13,0.01,-0.01,0,0,Lick Observatory
HD 217107,c,HD 217107 c,Radial Velocity,5.32,0.38,-0.38,0,0.517,0.033,-0.033,0,0,Lick Observatory
GJ 143,c,HD 21749 c,Transit,0.0695,0.0021,-0.0023,0,,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 217786,b,HD 217786 b,Radial Velocity,2.38,0.04,-0.04,0,0.4,0.05,-0.05,0,0,La Silla Observatory
HD 217850,b,HD 217850 b,Radial Velocity,4.56,0.24,-0.24,0,0.7621,0.0019,-0.0019,0,0,W. M. Keck Observatory
HD 218566,b,HD 218566 b,Radial Velocity,0.69,0.01,-0.01,0,0.3,0.1,-0.1,0,0,W. M. Keck Observatory
HD 219077,b,HD 219077 b,Radial Velocity,6.22,0.09,-0.09,0,0.77,0.003,-0.003,0,0,La Silla Observatory
HD 219134,b,HD 219134 b,Radial Velocity,0.03876,0.00047,-0.00047,0,0,,,0,0,Roque de los Muchachos Observatory
HD 219134,c,HD 219134 c,Radial Velocity,0.0653,0.0008,-0.0008,0,0.062,0.039,-0.039,0,0,Roque de los Muchachos Observatory
HD 219134,d,HD 219134 d,Radial Velocity,0.237,0.003,-0.003,0,0.138,0.025,-0.025,0,0,Roque de los Muchachos Observatory
HD 219134,f,HD 219134 f,Radial Velocity,0.1463,0.0018,-0.0018,0,0.148,0.047,-0.047,0,0,Multiple Observatories
HD 219134,g,HD 219134 g,Radial Velocity,0.3753,0.0004,-0.0004,0,0,,,0,0,Multiple Observatories
HD 219134,h,HD 219134 h,Radial Velocity,3.11,0.04,-0.04,0,0.06,0.04,-0.04,0,0,Roque de los Muchachos Observatory
HD 219415,b,HD 219415 b,Radial Velocity,3.2,,,0,0.4,0.09,-0.09,0,0,McDonald Observatory
HD 219666,b,HD 219666 b,Transit,0.06356,0.00265,-0.00265,0,0,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 219828,b,HD 219828 b,Radial Velocity,0.0507,0.0029,-0.0029,0,0.101,0.063,-0.063,0,0,La Silla Observatory
HD 219828,c,HD 219828 c,Radial Velocity,5.79,0.41,-0.41,0,0.8102,0.0051,-0.0051,0,0,Multiple Facilities
HD 220074,b,HD 220074 b,Radial Velocity,1.6,0.13,-0.13,0,0.14,0.05,-0.05,0,0,Bohyunsan Optical Astronomical Observatory
HD 220197,b,HD 220197 b,Radial Velocity,2.729,0.168,-0.085,0,0.187,0.279,-0.132,0,0,Roque de los Muchachos Observatory
HD 220689,b,HD 220689 b,Radial Velocity,3.396,0.084,-0.081,0,0.054,0.061,-0.038,0,0,La Silla Observatory
HD 220773,b,HD 220773 b,Radial Velocity,4.94,0.2,-0.2,0,0.51,0.1,-0.1,0,0,McDonald Observatory
HD 220842,b,HD 220842 b,Radial Velocity,0.74,0.018,-0.018,0,0.404,0.009,-0.009,0,0,Haute-Provence Observatory
HD 221287,b,HD 221287 b,Radial Velocity,1.25,0.04,-0.04,0,0.08,0.17,-0.05,0,0,La Silla Observatory
HD 221416,b,HD 221416 b,Transit,0.1228,0.0025,-0.0026,0,0.115,0.034,-0.03,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 221420,b,HD 221420 b,Radial Velocity,18.5,2.3,-2.3,0,0.42,0.05,-0.07,0,0,Anglo-Australian Telescope
HD 221585,b,HD 221585 b,Radial Velocity,2.306,0.081,-0.081,0,0.123,0.069,-0.069,0,0,Haute-Provence Observatory
HD 222076,b,HD 222076 b,Radial Velocity,1.83,0.03,-0.03,0,0.08,0.05,-0.05,0,0,Multiple Observatories
HD 222155,b,HD 222155 b,Radial Velocity,5.14,0.46,-0.46,0,0.16,0.22,-0.22,0,0,Haute-Provence Observatory
HD 222582,b,HD 222582 b,Radial Velocity,1.34,0.02,-0.02,0,0.73,0.01,-0.01,0,0,W. M. Keck Observatory
HD 224538,b,HD 224538 b,Radial Velocity,2.28,0.08,-0.08,0,0.464,0.022,-0.022,0,0,Multiple Observatories
HD 224693,b,HD 224693 b,Radial Velocity,0.191,0.014,-0.014,0,0.104,0.017,-0.017,0,0,W. M. Keck Observatory
HD 22781,b,HD 22781 b,Radial Velocity,1.167,0.039,-0.039,0,0.8191,0.0023,-0.0023,0,0,Haute-Provence Observatory
HD 23079,b,HD 23079 b,Radial Velocity,1.6,0.03,-0.03,0,0.1,0.03,-0.03,0,0,Anglo-Australian Telescope
HD 23127,b,HD 23127 b,Radial Velocity,2.37,0.032,-0.032,0,0.406,0.083,-0.09,0,0,Anglo-Australian Telescope
HD 231701,b,HD 231701 b,Radial Velocity,0.567,0.053,-0.053,0,0.13,0.032,-0.032,0,0,W. M. Keck Observatory
HD 233604,b,HD 233604 b,Radial Velocity,0.747,,,0,0.05,0.03,-0.03,0,0,McDonald Observatory
HD 233832,b,HD 233832 b,Radial Velocity,2.827,0.045,-0.039,0,0.359,0.046,-0.039,0,0,Roque de los Muchachos Observatory
HD 23472,b,HD 23472 b,Transit,0.121,0.001,-0.001,0,0,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 23472,c,HD 23472 c,Transit,0.17,0.001,-0.001,0,0,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 23596,b,HD 23596 b,Radial Velocity,2.77,0.05,-0.05,0,0.27,0.01,-0.01,0,0,Haute-Provence Observatory
HD 238914,b,HD 238914 b,Radial Velocity,5.7,0.9,-0.9,0,0.56,0.07,-0.05,0,0,Multiple Observatories
HD 240210,b,HD 240210 b,Radial Velocity,1.16,,,0,0.15,0.02,-0.02,0,0,McDonald Observatory
HD 240237,b,HD 240237 b,Radial Velocity,1.92,0.16,-0.16,0,0.4,0.1,-0.1,0,0,McDonald Observatory
HD 24040,b,HD 24040 b,Radial Velocity,4.92,0.21,-0.21,0,0.04,0.06,-0.06,0,0,W. M. Keck Observatory
HD 24064,b,HD 24064 b,Radial Velocity,1.29,0.04,-0.04,0,0.35,0.08,-0.08,0,0,Bohyunsan Optical Astronomical Observatory
HD 24085,b,HD 24085 b,Radial Velocity,0.034,0.001,-0.001,0,0.22,0.12,-0.12,0,0,Las Campanas Observatory
HD 25015,b,HD 25015 b,Radial Velocity,6.19,0.45,-0.23,0,0.39,0.09,-0.07,0,0,La Silla Observatory
HD 25171,b,HD 25171 b,Radial Velocity,2.971,0.033,-0.032,0,0.042,0.046,-0.029,0,0,La Silla Observatory
HD 2638,b,HD 2638 b,Radial Velocity,0.04,0,0,0,0,,,0,0,La Silla Observatory
HD 2685,b,HD 2685 b,Transit,0.0568,0.0006,-0.0006,0,0.091,0.039,-0.047,0,0,Transiting Exoplanet Survey Satellite (TESS)
HD 26965,b,HD 26965 b,Radial Velocity,,,,0,0.04,0.05,-0.03,0,0,Multiple Observatories
HD 27442,b,HD 27442 b,Radial Velocity,1.271,0.073,-0.073,0,0.06,0.043,-0.043,0,0,Anglo-Australian Telescope
HD 27631,b,HD 27631 b,Radial Velocity,3.242,0.07,-0.068,0,0.141,0.062,-0.065,0,0,La Silla Observatory
HD 27894,b,HD 27894 b,Radial Velocity,0.125,0.0001,-0.0001,0,0.047,0.012,-0.008,0,0,La Silla Observatory
HD 27894,c,HD 27894 c,Radial Velocity,0.198,0.001,-0.001,0,0.015,0.02,-0.002,0,0,La Silla Observatory
HD 27894,d,HD 27894 d,Radial Velocity,5.448,0.119,-0.058,0,0.389,0.087,-0.03,0,0,La Silla Observatory
HD 28185,b,HD 28185 b,Radial Velocity,1.02,0.02,-0.02,0,0.05,0.03,-0.03,0,0,La Silla Observatory
HD 28254,b,HD 28254 b,Radial Velocity,2.15,0.04,-0.05,0,0.81,0.05,-0.02,0,0,La Silla Observatory
HD 285507,b,HD 285507 b,Radial Velocity,0.06,0,0,0,0.09,0.02,-0.02,0,0,Fred Lawrence Whipple Observatory
HD 285968,b,HD 285968 b,Radial Velocity,0.066,,,0,0,,,0,0,La Silla Observatory
HD 28678,b,HD 28678 b,Radial Velocity,1.18,0.2,-0.2,0,0.149,0.047,-0.047,0,0,W. M. Keck Observatory
HD 29021,b,HD 29021 b,Radial Velocity,2.28,0.07,-0.08,0,0.459,0.008,-0.008,0,0,Haute-Provence Observatory
HD 290327,b,HD 290327 b,Radial Velocity,3.43,0.16,-0.16,0,0.08,0.05,-0.05,0,0,La Silla Observatory
HD 2952,b,HD 2952 b,Radial Velocity,1.23,0.02,-0.02,0,0.13,0.09,-0.09,0,0,Okayama Astrophysical Observatory
HD 30177,b,HD 30177 b,Radial Velocity,3.704,0.027,-0.027,0,0.162,0.01,-0.01,0,0,Anglo-Australian Telescope
HD 30177,c,HD 30177 c,Radial Velocity,9.89,1.04,-1.04,0,0.22,0.14,-0.14,0,0,Multiple Observatories
HD 30562,b,HD 30562 b,Radial Velocity,2.34,0.06,-0.06,0,0.76,0.05,-0.05,0,0,Lick Observatory
HD 30669,b,HD 30669 b,Radial Velocity,2.69,0.08,-0.08,0,0.18,0.15,-0.15,0,0,La Silla Observatory
HD 30856,b,HD 30856 b,Radial Velocity,1.85,0.13,-0.13,0,0.061,0.058,-0.058,0,0,W. M. Keck Observatory
HD 31253,b,HD 31253 b,Radial Velocity,1.26,0.02,-0.02,0,0.3,0.2,-0.2,0,0,W. M. Keck Observatory
HD 31527,b,HD 31527 b,Radial Velocity,0.1254,0.0041,-0.0045,0,0.1,0.05,-0.05,0,0,La Silla Observatory
HD 31527,c,HD 31527 c,Radial Velocity,0.2663,0.0088,-0.0095,0,0.04,0.05,-0.03,0,0,La Silla Observatory
HD 31527,d,HD 31527 d,Radial Velocity,0.8098,0.0273,-0.0293,0,0.24,0.13,-0.13,0,0,La Silla Observatory
HD 3167,b,HD 3167 b,Transit,0.0186,0.0003,-0.0003,0,,,,0,0,K2
HD 3167,c,HD 3167 c,Transit,0.1841,0.0027,-0.0028,0,,,,0,0,K2
HD 3167,d,HD 3167 d,Radial Velocity,0.07757,0.00027,-0.00027,0,0.36,,,0,0,W. M. Keck Observatory
HD 32518,b,HD 32518 b,Radial Velocity,0.59,0.03,-0.03,0,0.01,0.03,-0.03,0,0,Thueringer Landessternwarte Tautenburg
HD 32963,b,HD 32963 b,Radial Velocity,3.41,0.02,-0.02,0,0.07,0.04,-0.04,0,0,W. M. Keck Observatory
HD 330075,b,HD 330075 b,Radial Velocity,0.04,0,0,0,0,,,0,0,La Silla Observatory
HD 33142,b,HD 33142 b,Radial Velocity,1.07,0.09,-0.09,0,0.066,0.041,-0.041,0,0,W. M. Keck Observatory
HD 33142,c,HD 33142 c,Radial Velocity,,,,0,0.05,0.172,-0.114,0,0,W. M. Keck Observatory
HD 33283,b,HD 33283 b,Radial Velocity,0.1508,0.0087,-0.0087,0,0.399,0.056,-0.056,0,0,W. M. Keck Observatory
HD 33564,b,HD 33564 b,Radial Velocity,1.1,,,0,0.34,0.02,-0.02,0,0,Haute-Provence Observatory
HD 33844,b,HD 33844 b,Radial Velocity,1.6,0.06,-0.06,0,0.15,0.07,-0.07,0,0,Anglo-Australian Telescope
HD 33844,c,HD 33844 c,Radial Velocity,2.24,0.05,-0.05,0,0.13,0.1,-0.1,0,0,Anglo-Australian Telescope
HD 34445,b,HD 34445 b,Radial Velocity,2.07,0.04,-0.04,0,0.27,0.07,-0.07,0,0,W. M. Keck Observatory
HD 34445,c,HD 34445 c,Radial Velocity,0.7181,0.0049,-0.0049,0,0.036,0.071,-0.036,0,0,Multiple Observatories
HD 34445,d,HD 34445 d,Radial Velocity,0.4817,0.0033,-0.0033,0,0.027,0.051,-0.027,0,0,Multiple Observatories
HD 34445,e,HD 34445 e,Radial Velocity,0.2687,0.0019,-0.0019,0,0.09,0.062,-0.062,0,0,Multiple Observatories
HD 34445,f,HD 34445 f,Radial Velocity,1.543,0.016,-0.016,0,0.031,0.057,-0.031,0,0,Multiple Observatories
HD 34445,g,HD 34445 g,Radial Velocity,6.36,1.02,-1.02,0,0.032,0.08,-0.032,0,0,Multiple Observatories
HD 35759,b,HD 35759 b,Radial Velocity,0.389,0.009,-0.009,0,0.389,0.006,-0.006,0,0,Haute-Provence Observatory
HD 3651,b,HD 3651 b,Radial Velocity,0.295,0.029,-0.029,0,0.645,0.02,-0.02,0,0,Multiple Observatories
HD 37124,b,HD 37124 b,Radial Velocity,0.53364,0.0002,-0.0002,0,0.054,0.028,-0.028,0,0,W. M. Keck Observatory
HD 37124,c,HD 37124 c,Radial Velocity,1.71,0.0065,-0.0065,0,0.125,0.055,-0.055,0,0,W. M. Keck Observatory
HD 37124,d,HD 37124 d,Radial Velocity,2.807,0.038,-0.038,0,0.16,0.14,-0.14,0,0,W. M. Keck Observatory
HD 37605,b,HD 37605 b,Radial Velocity,0.277,0.015,-0.015,0,0.6745,0.0019,-0.0019,0,0,McDonald Observatory
HD 37605,c,HD 37605 c,Radial Velocity,3.74,0.21,-0.21,0,0.03,0.012,-0.012,0,0,Multiple Observatories
HD 38283,b,HD 38283 b,Radial Velocity,1.02,0.02,-0.02,0,0.41,0.16,-0.16,0,0,Anglo-Australian Telescope
HD 38529,b,HD 38529 b,Radial Velocity,0.1294,0.0058,-0.0058,0,0.28,0.017,-0.017,0,0,Multiple Observatories
HD 38529,c,HD 38529 c,Radial Velocity,3.64,0.16,-0.16,0,0.3407,0.0069,-0.0069,0,0,Multiple Observatories
HD 38801,b,HD 38801 b,Radial Velocity,1.623,0.047,-0.049,0,0.017,0.013,-0.011,0,0,Subaru Telescope
HD 39091,b,HD 39091 b,Radial Velocity,3.1,0.02,-0.02,0,0.637,0.002,-0.002,0,0,Anglo-Australian Telescope
HD 39855,b,HD 39855 b,Radial Velocity,0.041,0.001,-0.001,0,0.14,0.11,-0.11,0,0,Las Campanas Observatory
