pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
BD+20 2457,c,BD+20 2457 c,Radial Velocity,2.01,,,0,0.18,0.06,-0.06,0,0,McDonald Observatory
BD+20 274,b,BD+20 274 b,Radial Velocity,1.3,,,0,0.21,0.06,-0.06,0,0,McDonald Observatory
BD+20 594,b,BD+20 594 b,Transit,,,,0,0,,,0,0,K2
BD+48 738,b,BD+48 738 b,Radial Velocity,1,,,0,0.2,0.1,-0.1,0,0,McDonald Observatory
BD+48 740,b,BD+48 740 b,Radial Velocity,1.7,0.1,-0.1,0,0.76,0.05,-0.09,0,0,Multiple Observatories
BD+49 828,b,BD+49 828 b,Radial Velocity,4.2,0.32,-0.2,0,0.35,0.24,-0.1,0,0,McDonald Observatory
BD-06 1339,b,BD-06 1339 b,Radial Velocity,0.0428,0.0007,-0.0007,0,0,,,0,0,La Silla Observatory
BD-06 1339,c,BD-06 1339 c,Radial Velocity,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,0,La Silla Observatory
BD-08 2823,b,BD-08 2823 b,Radial Velocity,0.06,0,0,0,0.15,0.15,-0.15,0,0,La Silla Observatory
BD-08 2823,c,BD-08 2823 c,Radial Velocity,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,0,La Silla Observatory
BD-10 3166,b,BD-10 3166 b,Radial Velocity,0.04,0,0,0,0.02,0.02,-0.02,0,0,W. M. Keck Observatory
BD-11 4672,b,BD-11 4672 b,Radial Velocity,2.28,0.07,-0.07,0,0.05,0.06,-0.04,0,0,La Silla Observatory
BD-13 2130,b,BD-13 2130 b,Radial Velocity,1.66,0.12,-0.12,0,0.21,0.07,-0.07,0,0,La Silla Observatory
BD-17 63,b,BD-17 63 b,Radial Velocity,1.34,0.02,-0.02,0,0.54,0.005,-0.005,0,0,La Silla Observatory
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,2.6,0.3,-0.3,0,,,,,0,W. M. Keck Observatory
CHXR 73,b,CHXR 73 b,Imaging,210,,,0,,,,,0,Hubble Space Telescope
CI Tau,b,CI Tau b,Radial Velocity,,,,0,0.25,0.16,-0.16,0,0,Multiple Observatories
CT Cha,b,CT Cha b,Imaging,440,,,0,,,,,0,Paranal Observatory
CoRoT-1,b,CoRoT-1 b,Transit,,,,,0,,,0,0,CoRoT
CoRoT-10,b,CoRoT-10 b,Transit,0.1055,0.0021,-0.0021,0,0.53,0.04,-0.04,0,0,CoRoT
CoRoT-11,b,CoRoT-11 b,Transit,0.0436,0.005,-0.005,0,0,,,0,0,CoRoT
CoRoT-12,b,CoRoT-12 b,Transit,0.04016,0.00093,-0.00092,0,0.07,0.063,-0.042,0,0,CoRoT
CoRoT-13,b,CoRoT-13 b,Transit,0.051,0.0031,-0.0031,0,0,,,0,0,CoRoT
CoRoT-14,b,CoRoT-14 b,Transit,0.027,0.002,-0.002,0,0,,,0,0,CoRoT
CoRoT-16,b,CoRoT-16 b,Transit,0.0618,0.0015,-0.0015,0,0.33,0.09,-0.1,0,0,CoRoT
CoRoT-17,b,CoRoT-17 b,Transit,0.0461,0.0008,-0.0008,0,0,,,0,0,CoRoT
CoRoT-18,b,CoRoT-18 b,Transit,0.0295,0.0016,-0.0016,0,0.08,,,1,0,CoRoT
CoRoT-19,b,CoRoT-19 b,Transit,0.0518,0.0008,-0.0008,0,0.047,0.045,-0.045,0,0,CoRoT
CoRoT-2,b,CoRoT-2 b,Transit,0.02798,0.00076,-0.0008,0,0.0143,0.0077,-0.0076,0,0,CoRoT
CoRoT-20,b,CoRoT-20 b,Transit,0.09,0.002,-0.002,0,0.59,0.02,-0.02,0,0,CoRoT
CoRoT-20,c,CoRoT-20 c,Radial Velocity,2.9,0.07,-0.07,0,0.6,0.03,-0.03,0,0,Multiple Observatories
CoRoT-21,b,CoRoT-21 b,Transit,0.0417,0.0011,-0.0011,0,0,,,0,0,CoRoT
CoRoT-22,b,CoRoT-22 b,Transit,0.092,0.0014,-0.0014,0,0.077,0.3,-0.042,0,0,CoRoT
CoRoT-23,b,CoRoT-23 b,Transit,0.048,0.004,-0.004,0,0.16,0.02,-0.02,0,0,CoRoT
CoRoT-24,b,CoRoT-24 b,Transit,0.056,0.002,-0.002,0,0,,,0,0,CoRoT
CoRoT-24,c,CoRoT-24 c,Transit,0.098,0.003,-0.003,0,0,,,0,0,CoRoT
CoRoT-25,b,CoRoT-25 b,Transit,0.0578,0.002,-0.0009,0,0,,,0,0,CoRoT
CoRoT-26,b,CoRoT-26 b,Transit,0.0526,0.001,-0.001,0,0,,,0,0,CoRoT
CoRoT-27,b,CoRoT-27 b,Transit,0.0476,0.0066,-0.0066,0,0.065,,,1,0,CoRoT
CoRoT-28,b,CoRoT-28 b,Transit,0.0603,0.005,-0.005,0,0.047,0.055,-0.038,0,0,CoRoT
CoRoT-29,b,CoRoT-29 b,Transit,0.0386,0.0059,-0.0059,0,0.082,0.081,-0.081,0,0,CoRoT
CoRoT-3,b,CoRoT-3 b,Transit,,,,,0,,,0,0,CoRoT
CoRoT-4,b,CoRoT-4 b,Transit,0.09,0.001,-0.001,0,0,0.1,-0.1,0,0,CoRoT
CoRoT-5,b,CoRoT-5 b,Transit,0.04947,0.00026,-0.00029,0,0.09,0.09,-0.04,0,0,CoRoT
CoRoT-6,b,CoRoT-6 b,Transit,0.0855,0.0015,-0.0015,0,0.1,,,1,0,CoRoT
CoRoT-7,b,CoRoT-7 b,Transit,,,,0,0,,,0,0,CoRoT
CoRoT-7,c,CoRoT-7 c,Radial Velocity,0.046,,,0,0,,,0,0,CoRoT
CoRoT-8,b,CoRoT-8 b,Transit,0.063,0.001,-0.001,0,0,,,0,0,CoRoT
