Companion,alpha(deg),delta(deg),MG(mag),sep(au),mass(Msun),Teff(K),Flags
o UMa B,127.5638414,60.71589926,8.559+0.058,411, 0.540+0.006,3802+19, PRI BPRP
Pr 0211 B,130.5534099,19.26769006,5.831+0.127,7075,0.839+0.028,5063+120, ⋆ ⋆ ⋆ PRI 2MA BPRP
WASP-36 B,131.5816465,−8.02645463987, 9.708+0.104,1903,0.400+0.008,3521+12, 2MA BPRP
HD 75289 B,131.9260104,−41.73638902876,12.603+0.092,631, 0.136+0.006,3071+25,  PRI 2MA BPRP
55 Cnc B,133.167908,28.31528635,10.709+0.233,1068,0.272+0.027,3374+41,  PRI 2MA BPRP
HD 79498 B,138.7914934,23.35843986,7.244+0.528,2939,0.680+0.030,4339+137,PRI 2MA BPRP
HD 80606 B,140.6659266,50.60391855,4.595+0.213,1366,1.002+0.019,5736+45,PRI 2MA BPRP
KELT-3 B,148.6440318,40.38871891,6.558+0.256,792, 0.754+0.023,4682+108, PRI BPRP
HD 89744 B,155.5612845,41.24009399,16.682+0.031,2440,0.078+0.000,2222+7,2MA BPRP
HAT-P-22 B,155.6830406,50.131046,8.034+0.135,751, 0.597+0.022,3975+93,  PRI 2MA BPRP
KELT-4 BC,157.0628564,25.57351305,4.805+0.281,342, 0.973+0.068,5623+208,⋆⋆⋆
EPIC 248435473 B,157.9241878,0.934402726, 7.570+0.493,3316,0.646+0.030,4188+133,⋆ ⋆ ⋆ PRI 2MA BPRP
WASP-127 B,160.5476544,−3.83688551764, 4.975+0.057,6486,0.950+0.007,5530+29,  PRI 2MA BPRP
WASP-104 B,160.6024827,7.433179541, 11.599+0.094,1279,0.189+0.008,3237+20,  2MA BPRP
HD 93385 B,161.5590645,−41.46366107244,9.217+0.175,451, 0.463+0.021,3622+33,  PRI 2MA BPRP
HD 96167 B,166.3110856,−10.29060084012,11.445+0.015,503, 0.200+0.001,3262+2,  PRI BPRP
EPIC 201637175 B,169.4823178,2.618669507, 10.512+0.397,471, 0.292+0.019,3403+24,
HD 98736 B,170.4538382,18.19058946,7.565+0.208,165, 0.646+0.020,4190+91,  PRI 2MA BPR
K2-27 A,171.5062338,1.231562182, 4.078+0.289,8147,1.080+0.023,5906+73,  PRI 2MA BPRP
K2-27 C,171.5152207,1.229798434, 11.141+0.126,748, 0.230+0.009,3308+14, BPRP
HD 99492 A,171.6857105,3.013878277, 4.838+0.180,513, 0.969+0.014,5605+56, PRI 2MA BPRP
HD 100655 B,173.7798069,20.44365636,7.344+0.340,6791,0.669+0.022,4293+96,PRI 2MA BPRP
EPIC 201828749 B,175.6547303,5.894595058, 7.152+0.067,523, 0.689+0.006,4382+29,  PRI BPRP
HD 101930 B,175.881153,−57.98531221927,6.815+0.265,2194,0.726+0.037,4551+174, PRI 2MA BPRP
WASP-129 B,176.298118,−42.06494369662,12.132+0.145,1320,0.156+0.005,3150+14,
